###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_4633.jpg		no	0:00	0:05	0.000	5.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4629.jpg		no	0:05	0:10	5.000	10.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4630.jpg		no	0:10	0:15	10.000	15.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4631.jpg		no	0:15	0:20	15.000	20.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4632.jpg		no	0:20	0:25	20.000	25.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4633.jpg		no	0:25	0:30	25.000	30.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4634.jpg		no	0:30	0:35	30.000	35.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4635.jpg		no	0:35	0:40	35.000	40.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4636.jpg		no	0:40	0:45	40.000	45.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4637.jpg		no	0:45	0:50	45.000	50.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4638.jpg		no	0:50	0:55	50.000	55.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4639.jpg		no	0:55	1:00	55.000	60.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4640.jpg		no	1:00	1:05	60.000	65.000	5.000	Wasti			15.4.79 (So) 12:00		
IMG_4641.jpg		no	1:05	1:10	65.000	70.000	5.000	Wasti			15.4.79 (So) 12:00		
