###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
DnS_Unbek_9558.jpg		no	0:00	0:05	0.000	5.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:00		
DsI_Unbek_9554.jpg		no	0:05	0:10	5.000	10.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:02		
DwY_Unbek_9565.jpg		no	0:10	0:15	10.000	15.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:04		
DzG_Unbek_9566.jpg		no	0:15	0:20	15.000	20.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:05		
EbO_Unbek_9551.jpg		no	0:20	0:25	20.000	25.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:06		
EgE_Unbek_3247.jpg		no	0:25	0:30	25.000	30.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:08		
EkU_Unbek_3253.jpg		no	0:30	0:35	30.000	35.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:10		
EnC_Unbek_3256.jpg		no	0:35	0:40	35.000	40.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:11		
FaY_A1_8305.jpg		no	0:40	0:45	40.000	45.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:17		
FdG_A1_8306.jpg		no	0:45	0:50	45.000	50.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:18		
FmM_A1_8322.jpg		no	0:50	0:55	50.000	55.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:22		
FoU_Unbek_3224.jpg		no	0:55	1:00	55.000	60.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:23		
FtK_Unbek_3230.jpg		no	1:00	1:05	60.000	65.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:25		
FyA_A1_8336.jpg		no	1:05	1:10	65.000	70.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:27		
GaI_A1_8326.jpg		no	1:10	1:15	70.000	75.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:28		
GcQ_A1_8335.jpg		no	1:15	1:20	75.000	80.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:29		
GeY_A1_8334.jpg		no	1:20	1:25	80.000	85.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:30		
GhG_A1_8337.jpg		no	1:25	1:30	85.000	90.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:31		
GqM_A1_8349.jpg		no	1:30	1:35	90.000	95.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:35		
GsU_Unbek_0002.jpg		no	1:35	1:40	95.000	100.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:36		
GxK_A1_8350.jpg		no	1:40	1:45	100.000	105.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:38		
HeI_A1_8355.jpg		no	1:45	1:50	105.000	110.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:41		
IbK_A1_8329.jpg		no	1:50	1:55	110.000	115.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:51		
IdS_A1_8330.jpg		no	1:55	2:00	115.000	120.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:52		
IiI_A1_8323.jpg		no	2:00	2:05	120.000	125.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:54		
IkQ_A1_8310.jpg		no	2:05	2:10	125.000	130.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:55		
ItW_Unbek_9082.jpg		no	2:10	2:15	130.000	135.000	5.000	Puschkins Welpen			5.1.89 (Do) 8:59		
IwE_Unbek_9555.jpg		no	2:15	2:20	135.000	140.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:00		
IyM_Unbek_9556.jpg		no	2:20	2:25	140.000	145.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:01		
JfK_A1_8324.jpg		no	2:25	2:30	145.000	150.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:04		
JhS_A1_8325.jpg		no	2:30	2:35	150.000	155.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:05		
JqY_A1_8356.jpg		no	2:35	2:40	155.000	160.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:09		
JxW_A1_8342.jpg		no	2:40	2:45	160.000	165.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:12		
KcM_A1_8358.jpg		no	2:45	2:50	165.000	170.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:14		
KhC_A1_8353.jpg		no	2:50	2:55	170.000	175.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:16		
KqI_Unbek_0005.jpg		no	2:55	3:00	175.000	180.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:20		
KsQ_A1_8318.jpg		no	3:00	3:05	180.000	185.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:21		
KuY_A1_8319.jpg		no	3:05	3:10	185.000	190.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:22		
LeE_A1_8360.jpg		no	3:10	3:15	190.000	195.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:26		
LiU_A1_8362.jpg		no	3:15	3:20	195.000	200.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:28		
LlC_A1_8365.jpg		no	3:20	3:25	200.000	205.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:29		
LnK_A1_8366.jpg		no	3:25	3:30	205.000	210.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:30		
LpS_A1_8367.jpg		no	3:30	3:35	210.000	215.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:31		
LsA_A1_8369.jpg		no	3:35	3:40	215.000	220.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:32		
LuI_A1_8370.jpg		no	3:40	3:45	220.000	225.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:33		
LyY_A1_8372.jpg		no	3:45	3:50	225.000	230.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:35		
MdO_A1_8374.jpg		no	3:50	3:55	230.000	235.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:37		
MfW_A1_8375.jpg		no	3:55	4:00	235.000	240.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:38		
MiE_A1_8376.jpg		no	4:00	4:05	240.000	245.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:39		
MkM_A1_8377.jpg		no	4:05	4:10	245.000	250.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:40		
MtS_A1_8381.jpg		no	4:10	4:15	250.000	255.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:44		
MwA_A1_8382.jpg		no	4:15	4:20	255.000	260.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:45		
MyI_A1_8383.jpg		no	4:20	4:25	260.000	265.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:46		
NfG_A1_8387.jpg		no	4:25	4:30	265.000	270.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:49		
NjW_A1_8390.jpg		no	4:30	4:35	270.000	275.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:51		
NmE_A1_8391.jpg		no	4:35	4:40	275.000	280.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:52		
NqU_A1_8393.jpg		no	4:40	4:45	280.000	285.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:54		
NvK_A1_8395.jpg		no	4:45	4:50	285.000	290.000	5.000	Puschkins Welpen			5.1.89 (Do) 9:56		
PpO_A1_8386.jpg		no	4:50	4:55	290.000	295.000	5.000	Puschkins Welpen			5.1.89 (Do) 10:16		
PuE_Unbek_9080.jpg		no	4:55	5:00	295.000	300.000	5.000	Puschkins Welpen			5.1.89 (Do) 10:18		
PwM_A1_8388.jpg		no	5:00	5:05	300.000	305.000	5.000	Puschkins Welpen			5.1.89 (Do) 10:19		
QbC_A1_8363.jpg		no	5:05	5:10	305.000	310.000	5.000	Puschkins Welpen			5.1.89 (Do) 10:21		
