###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_QxGxHw_E50_3343.jpg		no	0:00	0:05	0.000	5.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 13:10		
GoPcVo_E50_2914.jpg		no	0:05	0:10	5.000	10.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			4.4.01 (Mi) 12:00		
GoPcVo_E50_2915.jpg		no	0:10	0:15	10.000	15.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			4.4.01 (Mi) 12:00		
GoPcVo_E50_2974.jpg		no	0:15	0:20	15.000	20.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			4.4.01 (Mi) 12:00		
GoPcVo_E50_2998.jpg		no	0:20	0:25	20.000	25.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			4.4.01 (Mi) 12:00		
GoPcVo_E50_3001.jpg		no	0:25	0:30	25.000	30.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			4.4.01 (Mi) 12:00		
QxGaRk_E50_3076.jpg		no	0:30	0:35	30.000	35.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 8:55		
QxGcAa_E50_3085.jpg		no	0:35	0:40	35.000	40.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 9:10		
QxGcXc_E50_3091.jpg		no	0:40	0:45	40.000	45.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 9:20		
QxGdIq_E50_3094.jpg		no	0:45	0:50	45.000	50.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 9:25		
QxGdUe_E50_3097.jpg		no	0:50	0:55	50.000	55.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 9:30		
QxGjZs_E50_3044.jpg		no	0:55	1:00	55.000	60.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 10:40		
QxGwWi_E50_3339.jpg		no	1:00	1:05	60.000	65.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 13:05		
QxGxHw_E50_3343.jpg		no	1:05	1:10	65.000	70.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 13:10		
QxGxTk_E50_3344.jpg		no	1:10	1:15	70.000	75.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 13:15		
QxGyEy_E50_3349.jpg		no	1:15	1:20	75.000	80.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 13:20		
QxGyQm_E50_3350.jpg		no	1:20	1:25	80.000	85.000	5.000	Ramses, Merlin und Ronny 2001 bsi 2003			30.1.05 (So) 13:25		
