###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_Nikon_E5000_0383.jpg		no	0:00	0:05	0.000	5.000	5.000	Huber Hundebild			7.7.04 (Mi) 6:42		
Fotos_002.jpg		no	0:05	0:10	5.000	10.000	5.000	Huber Hundebild			23.3.03 (So) 14:38		
Fotos_003.jpg		no	0:10	0:15	10.000	15.000	5.000	Huber Hundebild			23.3.03 (So) 14:39		
Fotos_004.jpg		no	0:15	0:20	15.000	20.000	5.000	Huber Hundebild			23.3.03 (So) 14:40		
Fotos_005.jpg		no	0:20	0:25	20.000	25.000	5.000	Huber Hundebild			23.3.03 (So) 15:02		
Fotos_006.jpg		no	0:25	0:30	25.000	30.000	5.000	Huber Hundebild			23.3.03 (So) 15:03		
Fotos_007.jpg		no	0:30	0:35	30.000	35.000	5.000	Huber Hundebild			23.3.03 (So) 15:30		
Fotos_008.jpg		no	0:35	0:40	35.000	40.000	5.000	Huber Hundebild			23.3.03 (So) 15:50		
Fotos_009.jpg		no	0:40	0:45	40.000	45.000	5.000	Huber Hundebild			23.3.03 (So) 15:51		
Fotos_010.jpg		no	0:45	0:50	45.000	50.000	5.000	Huber Hundebild			23.3.03 (So) 15:51		
Fotos_011.jpg		no	0:50	0:55	50.000	55.000	5.000	Huber Hundebild			23.3.03 (So) 15:54		
Fotos_012.jpg		no	0:55	1:00	55.000	60.000	5.000	Huber Hundebild			23.3.03 (So) 15:54		
Fotos_013.jpg		no	1:00	1:05	60.000	65.000	5.000	Huber Hundebild			23.3.03 (So) 15:59		
Fotos_014.jpg		no	1:05	1:10	65.000	70.000	5.000	Huber Hundebild			23.3.03 (So) 15:59		
Fotos_015.jpg		no	1:10	1:15	70.000	75.000	5.000	Huber Hundebild			23.3.03 (So) 16:00		
Fotos_016.jpg		no	1:15	1:20	75.000	80.000	5.000	Huber Hundebild			23.3.03 (So) 16:01		
Fotos_017.jpg		no	1:20	1:25	80.000	85.000	5.000	Huber Hundebild			23.3.03 (So) 16:01		
Fotos_018.jpg		no	1:25	1:30	85.000	90.000	5.000	Huber Hundebild			23.3.03 (So) 16:01		
Fotos_019.jpg		no	1:30	1:35	90.000	95.000	5.000	Huber Hundebild			23.3.03 (So) 16:35		
Fotos_020.jpg		no	1:35	1:40	95.000	100.000	5.000	Huber Hundebild			23.3.03 (So) 16:37		
Fotos_021.jpg		no	1:40	1:45	100.000	105.000	5.000	Huber Hundebild			23.3.03 (So) 16:38		
Fotos_022.jpg		no	1:45	1:50	105.000	110.000	5.000	Huber Hundebild			23.3.03 (So) 16:38		
Fotos_023.jpg		no	1:50	1:55	110.000	115.000	5.000	Huber Hundebild			23.3.03 (So) 16:39		
Fotos_024.jpg		no	1:55	2:00	115.000	120.000	5.000	Huber Hundebild			20.4.03 (So) 14:24		
Fotos_025.jpg		no	2:00	2:05	120.000	125.000	5.000	Huber Hundebild			20.4.03 (So) 14:25		
Fotos_026.jpg		no	2:05	2:10	125.000	130.000	5.000	Huber Hundebild			20.4.03 (So) 14:25		
Fotos_027.jpg		no	2:10	2:15	130.000	135.000	5.000	Huber Hundebild			20.4.03 (So) 14:26		
Fotos_028.jpg		no	2:15	2:20	135.000	140.000	5.000	Huber Hundebild			20.4.03 (So) 14:26		
Fotos_029.jpg		no	2:20	2:25	140.000	145.000	5.000	Huber Hundebild			20.4.03 (So) 14:26		
Nikon_E5000_0381.jpg		no	2:25	2:30	145.000	150.000	5.000	Huber Hundebild			7.7.04 (Mi) 6:41		
Nikon_E5000_0382.jpg		no	2:30	2:35	150.000	155.000	5.000	Huber Hundebild			7.7.04 (Mi) 6:42		
Nikon_E5000_0383.jpg		no	2:35	2:40	155.000	160.000	5.000	Huber Hundebild			7.7.04 (Mi) 6:42		
Nikon_E5000_0384.jpg		no	2:40	2:45	160.000	165.000	5.000	Huber Hundebild			7.7.04 (Mi) 6:42		
