###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_LmUlUe_Nikon_0025.jpg		no	0:00	0:05	0.000	5.000	5.000	Ramses, Merlin und Ronny			31.1.03 (Fr) 13:07		
LhCfMv_Nikon_1842.jpg		no	0:05	0:10	5.000	10.000	5.000	Ramses, Merlin und Ronny			1.1.03 (Mi) 9:22		
LhCfPt_Nikon_1844.jpg		no	0:10	0:15	10.000	15.000	5.000	Ramses, Merlin und Ronny			1.1.03 (Mi) 9:23		
LhCfSw_Nikon_1841.jpg		no	0:15	0:20	15.000	20.000	5.000	Ramses, Merlin und Ronny			1.1.03 (Mi) 9:25		
LmUlUe_Nikon_0025.jpg		no	0:20	0:25	20.000	25.000	5.000	Ramses, Merlin und Ronny			31.1.03 (Fr) 13:07		
LwZfDg_Nikon_0001.jpg		no	0:25	0:30	25.000	30.000	5.000	Ramses, Merlin und Ronny			23.3.03 (So) 9:40		
LwZfDg_Nikon_0003.jpg		no	0:30	0:35	30.000	35.000	5.000	Ramses, Merlin und Ronny			23.3.03 (So) 9:40		
LwZfDg_Nikon_0004.jpg		no	0:35	0:40	35.000	40.000	5.000	Ramses, Merlin und Ronny			23.3.03 (So) 9:40		
LwZfDg_Nikon_0005.jpg		no	0:40	0:45	40.000	45.000	5.000	Ramses, Merlin und Ronny			23.3.03 (So) 9:40		
LwZfDg_Nikon_0006.jpg		no	0:45	0:50	45.000	50.000	5.000	Ramses, Merlin und Ronny			23.3.03 (So) 9:40		
LwZfDg_Nikon_0007.jpg		no	0:50	0:55	50.000	55.000	5.000	Ramses, Merlin und Ronny			23.3.03 (So) 9:40		
LwZfDg_Nikon_0008.jpg		no	0:55	1:00	55.000	60.000	5.000	Ramses, Merlin und Ronny			23.3.03 (So) 9:40		
LwZfDg_Nikon_0009.jpg		no	1:00	1:05	60.000	65.000	5.000	Ramses, Merlin und Ronny			23.3.03 (So) 9:40		
McVjYe_Nikon_0002.jpg		no	1:05	1:10	65.000	70.000	5.000	Ramses, Merlin und Ronny			23.4.03 (Mi) 9:40		
MlRrXc_Nikon_1675.jpg		no	1:10	1:15	70.000	75.000	5.000	Ramses, Merlin und Ronny			8.6.03 (So) 6:04		
MnBiDk_E50_3497.jpg		no	1:15	1:20	75.000	80.000	5.000			2003:06:15 12:00:00			
MnBiDk_E50_3500.jpg		no	1:20	1:25	80.000	85.000	5.000			2003:06:15 12:00:00			
MnBiDk_E50_3504.jpg		no	1:25	1:30	85.000	90.000	5.000			2003:06:15 12:00:00			
MnBiDk_E50_3506.jpg		no	1:30	1:35	90.000	95.000	5.000			2003:06:15 12:00:00			
MnBiDk_E50_3509.jpg		no	1:35	1:40	95.000	100.000	5.000			2003:06:15 12:00:00			
MnBiDk_E50_3512.jpg		no	1:40	1:45	100.000	105.000	5.000			2003:06:15 12:00:00			
MnBiDk_E50_3516.jpg		no	1:45	1:50	105.000	110.000	5.000			2003:06:15 12:00:00			
