###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
HvEbWa_Unbek_0039.jpg		no	0:00	0:05	0.000	5.000	5.000	Merlin			21.9.01 (Fr) 19:03		
HvEbWt_Unbek_0041.jpg		no	0:05	0:10	5.000	10.000	5.000	Merlin			21.9.01 (Fr) 19:03		
HvEdNe_Unbek_0038.jpg		no	0:10	0:15	10.000	15.000	5.000	Merlin			21.9.01 (Fr) 19:22		
HvEdNe_Unbek_0043.jpg		no	0:15	0:20	15.000	20.000	5.000	Merlin			21.9.01 (Fr) 19:22		
HvEdNe_Unbek_0046.jpg		no	0:20	0:25	20.000	25.000	5.000	Merlin			21.9.01 (Fr) 19:22		
HvEdNe_Unbek_0047.jpg		no	0:25	0:30	25.000	30.000	5.000	Merlin			21.9.01 (Fr) 19:22		
HvEdNe_Unbek_0049.jpg		no	0:30	0:35	30.000	35.000	5.000	Merlin			21.9.01 (Fr) 19:22		
HvEdNe_Unbek_0050.jpg		no	0:35	0:40	35.000	40.000	5.000	Merlin			21.9.01 (Fr) 19:22		
HvEdNe_Unbek_0051.jpg		no	0:40	0:45	40.000	45.000	5.000	Merlin			21.9.01 (Fr) 19:22		
LeSmNg_Nikon_0052.jpg		no	0:45	0:50	45.000	50.000	5.000	Merlin			19.12.02 (Do) 19:59		
LeSnIt_Nikon_0053.jpg		no	0:50	0:55	50.000	55.000	5.000	Merlin			19.12.02 (Do) 20:09		
LjEjYz_Nikon_0054.jpg		no	0:55	1:00	55.000	60.000	5.000	Merlin			12.1.03 (So) 9:51		
LjEjZg_Nikon_0026.jpg		no	1:00	1:05	60.000	65.000	5.000	Merlin			12.1.03 (So) 9:51		
LvIoPw_Nikon_0027.jpg		no	1:05	1:10	65.000	70.000	5.000	Merlin			14.3.03 (Fr) 17:30		
LvIoQp_Nikon_0028.jpg		no	1:10	1:15	70.000	75.000	5.000	Merlin			14.3.03 (Fr) 17:31		
LvIoRb_Nikon_0029.jpg		no	1:15	1:20	75.000	80.000	5.000	Merlin			14.3.03 (Fr) 17:31		
LzIjUn_Nikon_0030.jpg		no	1:20	1:25	80.000	85.000	5.000	Merlin			4.4.03 (Fr) 21:21		
MlRrWo_Nikon_0031.jpg		no	1:25	1:30	85.000	90.000	5.000	Merlin			8.6.03 (So) 6:04		
NqPaCe_Nikon_0001.jpg		no	1:30	1:35	90.000	95.000	5.000	Merlin			16.11.03 (So) 15:02		
NqPtVq_Nikon_0023.jpg		no	1:35	1:40	95.000	100.000	5.000	Merlin			16.11.03 (So) 18:44		
NqPtYy_Nikon_0024.jpg		no	1:40	1:45	100.000	105.000	5.000	Merlin			16.11.03 (So) 18:46		
NzKwOm_Nikon_0033.jpg		no	1:45	1:50	105.000	110.000	5.000	Merlin			1.1.04 (Do) 9:17		
NzKwUm_Nikon_0035.jpg		no	1:50	1:55	110.000	115.000	5.000	Merlin			1.1.04 (Do) 9:19		
OfDdNg_Nikon_0002.jpg		no	1:55	2:00	115.000	120.000	5.000	Merlin			31.1.04 (Sa) 13:09		
OfDdNj_Nikon_0003.jpg		no	2:00	2:05	120.000	125.000	5.000	Merlin			31.1.04 (Sa) 13:09		
OtCdRa_Nikon_0004.jpg		no	2:05	2:10	125.000	130.000	5.000	Merlin			12.4.04 (Mo) 10:25		
OtCdSs_Nikon_0005.jpg		no	2:10	2:15	130.000	135.000	5.000	Merlin			12.4.04 (Mo) 10:26		
OtCdUt_Nikon_0007.jpg		no	2:15	2:20	135.000	140.000	5.000	Merlin			12.4.04 (Mo) 10:27		
OtCdXd_Nikon_0008.jpg		no	2:20	2:25	140.000	145.000	5.000	Merlin			12.4.04 (Mo) 10:28		
OtCdYb_Nikon_0010.jpg		no	2:25	2:30	145.000	150.000	5.000	Merlin			12.4.04 (Mo) 10:29		
OtCeBv_Nikon_0014.jpg		no	2:30	2:35	150.000	155.000	5.000	Merlin			12.4.04 (Mo) 10:30		
PgCpBs_Nikon_0017.jpg		no	2:35	2:40	155.000	160.000	5.000	Merlin			19.6.04 (Sa) 6:46		
