###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_LjFtEp_Nikon_0036.jpg		no	0:00	0:05	0.000	5.000	5.000	Ronny			12.1.03 (So) 16:28		
HvEbZd_Nikon_0006.jpg		no	0:05	0:10	5.000	10.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Nikon_0007.jpg		no	0:10	0:15	10.000	15.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0019.jpg		no	0:15	0:20	15.000	20.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0038.jpg		no	0:20	0:25	20.000	25.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0039.jpg		no	0:25	0:30	25.000	30.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0040.jpg		no	0:30	0:35	30.000	35.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0042.jpg		no	0:35	0:40	35.000	40.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0045.jpg		no	0:40	0:45	40.000	45.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0046.jpg		no	0:45	0:50	45.000	50.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0047.jpg		no	0:50	0:55	50.000	55.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0048.jpg		no	0:55	1:00	55.000	60.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0051.jpg		no	1:00	1:05	60.000	65.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0052.jpg		no	1:05	1:10	65.000	70.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0053.jpg		no	1:10	1:15	70.000	75.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEbZd_Unbek_0058.jpg		no	1:15	1:20	75.000	80.000	5.000	Ronny			21.9.01 (Fr) 19:04		
HvEdNx_Unbek_0049.jpg		no	1:20	1:25	80.000	85.000	5.000	Ronny			21.9.01 (Fr) 19:22		
HvEhBa_Unbek_0041.jpg		no	1:25	1:30	85.000	90.000	5.000	Ronny			21.9.01 (Fr) 20:01		
HvEhBa_Unbek_0043.jpg		no	1:30	1:35	90.000	95.000	5.000	Ronny			21.9.01 (Fr) 20:01		
HvEhBu_Unbek_0050.jpg		no	1:35	1:40	95.000	100.000	5.000	Ronny			21.9.01 (Fr) 20:02		
HvHpNw_Unbek_0057.jpg		no	1:40	1:45	100.000	105.000	5.000	Ronny			22.9.01 (Sa) 12:16		
LeSlXv_Nikon_0035.jpg		no	1:45	1:50	105.000	110.000	5.000	Ronny			19.12.02 (Do) 19:53		
LeSlZb_Nikon_0037.jpg		no	1:50	1:55	110.000	115.000	5.000	Ronny			19.12.02 (Do) 19:53		
LjFtEp_Nikon_0020.jpg		no	1:55	2:00	115.000	120.000	5.000	Ronny			12.1.03 (So) 16:28		
LjFtEp_Nikon_0036.jpg		no	2:00	2:05	120.000	125.000	5.000	Ronny			12.1.03 (So) 16:28		
LwYwPd_Nikon_0021.jpg		no	2:05	2:10	125.000	130.000	5.000	Ronny			23.3.03 (So) 8:03		
LwYwPi_Nikon_0022.jpg		no	2:10	2:15	130.000	135.000	5.000	Ronny			23.3.03 (So) 8:03		
LwYwQq_Nikon_1644.jpg		no	2:15	2:20	135.000	140.000	5.000	Ronny			23.3.03 (So) 8:04		
LzIjSu_Nikon_0023.jpg		no	2:20	2:25	140.000	145.000	5.000	Ronny			4.4.03 (Fr) 21:20		
LzIjTg_Nikon_1657.jpg		no	2:25	2:30	145.000	150.000	5.000	Ronny			4.4.03 (Fr) 21:20		
LzIjTu_Nikon_1658.jpg		no	2:30	2:35	150.000	155.000	5.000	Ronny			4.4.03 (Fr) 21:21		
MyYaJj_Nikon_0026.jpg		no	2:35	2:40	155.000	160.000	5.000	Ronny			16.8.03 (Sa) 7:08		
MyYaKa_Nikon_0027.jpg		no	2:40	2:45	160.000	165.000	5.000	Ronny			16.8.03 (Sa) 7:09		
NqPtOq_Nikon_0018.jpg		no	2:45	2:50	165.000	170.000	5.000	Ronny			16.11.03 (So) 18:41		
NzKwVb_Nikon_0030.jpg		no	2:50	2:55	170.000	175.000	5.000	Ronny			1.1.04 (Do) 9:19		
NzKwWd_Nikon_0031.jpg		no	2:55	3:00	175.000	180.000	5.000	Ronny			1.1.04 (Do) 9:20		
NzKwWs_Nikon_0032.jpg		no	3:00	3:05	180.000	185.000	5.000	Ronny			1.1.04 (Do) 9:20		
NzKwXh_Nikon_0033.jpg		no	3:05	3:10	185.000	190.000	5.000	Ronny			1.1.04 (Do) 9:20		
NzKxBu_Nikon_0034.jpg		no	3:10	3:15	190.000	195.000	5.000	Ronny			1.1.04 (Do) 9:22		
OfDdJb_Nikon_0001.jpg		no	3:15	3:20	195.000	200.000	5.000	Ronny			31.1.04 (Sa) 13:07		
OfDdJx_Nikon_0002.jpg		no	3:20	3:25	200.000	205.000	5.000	Ronny			31.1.04 (Sa) 13:08		
OfEtSd_Nikon_0003.jpg		no	3:25	3:30	205.000	210.000	5.000	Ronny			31.1.04 (Sa) 21:04		
OfEtTi_Nikon_0004.jpg		no	3:30	3:35	210.000	215.000	5.000	Ronny			31.1.04 (Sa) 21:05		
OfEtUl_Nikon_0005.jpg		no	3:35	3:40	215.000	220.000	5.000	Ronny			31.1.04 (Sa) 21:05		
OsOqOs_Nikon_0009.jpg		no	3:40	3:45	220.000	225.000	5.000	Ronny			9.4.04 (Fr) 16:30		
OsOqPn_Nikon_0010.jpg		no	3:45	3:50	225.000	230.000	5.000	Ronny			9.4.04 (Fr) 16:30		
OsOqWo_Nikon_0013.jpg		no	3:50	3:55	230.000	235.000	5.000	Ronny			9.4.04 (Fr) 16:33		
OsOrFq_Nikon_0016.jpg		no	3:55	4:00	235.000	240.000	5.000	Ronny			9.4.04 (Fr) 16:37		
OsOrRi_Nikon_0017.jpg		no	4:00	4:05	240.000	245.000	5.000	Ronny			9.4.04 (Fr) 16:42		
