###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
CkZeJ_Nikon_0068.jpg		no	0:00	0:05	0.000	5.000	5.000	Jule			9.7.05 (Sa) 9:07		
CkZfB_Nikon_0069.jpg		no	0:05	0:10	5.000	10.000	5.000	Jule			9.7.05 (Sa) 9:07		
CkZfJ_Nikon_0070.jpg		no	0:10	0:15	10.000	15.000	5.000	Jule			9.7.05 (Sa) 9:07		
CkZfN_Nikon_0071.jpg		no	0:15	0:20	15.000	20.000	5.000	Jule			9.7.05 (Sa) 9:07		
CkZgE_Nikon_0072.jpg		no	0:20	0:25	20.000	25.000	5.000	Jule			9.7.05 (Sa) 9:07		
CkZgO_Nikon_0073.jpg		no	0:25	0:30	25.000	30.000	5.000	Jule			9.7.05 (Sa) 9:07		
CkZgT_Nikon_0009.jpg		no	0:30	0:35	30.000	35.000	5.000	Jule			9.7.05 (Sa) 9:08		
CkZgT_Nikon_0074.jpg		no	0:35	0:40	35.000	40.000	5.000	Jule			9.7.05 (Sa) 9:08		
CkZgZ_Nikon_0075.jpg		no	0:40	0:45	40.000	45.000	5.000	Jule			9.7.05 (Sa) 9:08		
CkZnW_Nikon_0011.jpg		no	0:45	0:50	45.000	50.000	5.000	Jule			9.7.05 (Sa) 9:11		
CkZnW_Nikon_0076.jpg		no	0:50	0:55	50.000	55.000	5.000	Jule			9.7.05 (Sa) 9:11		
CkZoB_Nikon_0077.jpg		no	0:55	1:00	55.000	60.000	5.000	Jule			9.7.05 (Sa) 9:11		
HsXxY_Nikon_0007.jpg		no	1:00	1:05	60.000	65.000	5.000	Jule			6.8.05 (Sa) 10:37		
HsXyH_Nikon_0403.jpg		no	1:05	1:10	65.000	70.000	5.000	Jule			6.8.05 (Sa) 10:37		
HsXyT_Nikon_0013.jpg		no	1:10	1:15	70.000	75.000	5.000	Jule			6.8.05 (Sa) 10:38		
HsXyT_Nikon_0078.jpg		no	1:15	1:20	75.000	80.000	5.000	Jule			6.8.05 (Sa) 10:38		
YbDiC_Nikon_0079.jpg		no	1:20	1:25	80.000	85.000	5.000	Jule			30.10.05 (So) 16:42		
