###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
CtMbTwA_Unbek_0005.jpg		no	0:00	0:05	0.000	5.000	5.000	Ramses			1.6.96 (Sa) 12:00		
CtMbTwA_Unbek_0032.jpg		no	0:05	0:10	5.000	10.000	5.000	Ramses			1.6.96 (Sa) 12:00		
CtMbTwA_Unbek_0033.jpg		no	0:10	0:15	10.000	15.000	5.000	Ramses			1.6.96 (Sa) 12:00		
DeFwQfK_E50_4151.jpg		no	0:15	0:20	15.000	20.000	5.000	Ramses			24.5.00 (Mi) 9:29		
DeFwQhS_E50_4154.jpg		no	0:20	0:25	20.000	25.000	5.000	Ramses			24.5.00 (Mi) 9:30		
DhVeHdT_Unbek_0034.jpg		no	0:25	0:30	25.000	30.000	5.000	Ramses			21.9.01 (Fr) 20:03		
DhVhPqH_Unbek_0035.jpg		no	0:30	0:35	30.000	35.000	5.000	Ramses			22.9.01 (Sa) 12:17		
DlEsMeD_Nikon_0036.jpg		no	0:35	0:40	35.000	40.000	5.000	Ramses			19.12.02 (Do) 19:55		
DlEsMfA_Nikon_0037.jpg		no	0:40	0:45	40.000	45.000	5.000	Ramses			19.12.02 (Do) 19:56		
DmYxXpM_Nikon_0028.jpg		no	0:45	0:50	45.000	50.000	5.000	Ramses			16.8.03 (Sa) 6:37		
DmYxXpW_Nikon_0029.jpg		no	0:50	0:55	50.000	55.000	5.000	Ramses			16.8.03 (Sa) 6:37		
DmYxXqH_Nikon_1803.jpg		no	0:55	1:00	55.000	60.000	5.000	Ramses			16.8.03 (Sa) 6:38		
DnQpTwA_Nikon_0009.jpg		no	1:00	1:05	60.000	65.000	5.000	Ramses			16.11.03 (So) 18:44		
DnQpTyL_Nikon_0012.jpg		no	1:05	1:10	65.000	70.000	5.000	Ramses			16.11.03 (So) 18:45		
DoFdDhR_Nikon_0002.jpg		no	1:10	1:15	70.000	75.000	5.000	Ramses			31.1.04 (Sa) 13:07		
DpOkRwT_Nikon_0003.jpg		no	1:15	1:20	75.000	80.000	5.000	Ramses			1.8.04 (So) 5:51		
DpOlAnD_Nikon_0004.jpg		no	1:20	1:25	80.000	85.000	5.000	Ramses			1.8.04 (So) 7:28		
DpOlApS_Nikon_0006.jpg		no	1:25	1:30	85.000	90.000	5.000	Ramses			1.8.04 (So) 7:29		
DpOlAqH_Nikon_0007.jpg		no	1:30	1:35	90.000	95.000	5.000	Ramses			1.8.04 (So) 7:29		
DpOlAqJ_Nikon_0008.jpg		no	1:35	1:40	95.000	100.000	5.000	Ramses			1.8.04 (So) 7:29		
DqEjMxM_Nikon_0013.jpg		no	1:40	1:45	100.000	105.000	5.000	Ramses			23.10.04 (Sa) 15:02		
DqEjMxU_Nikon_0014.jpg		no	1:45	1:50	105.000	110.000	5.000	Ramses			23.10.04 (Sa) 15:02		
DqRkRgE_Nikon_0015.jpg		no	1:50	1:55	110.000	115.000	5.000	Ramses			30.12.04 (Do) 13:55		
DqRkRgH_Nikon_0016.jpg		no	1:55	2:00	115.000	120.000	5.000	Ramses			30.12.04 (Do) 13:55		
DqRkRkK_Nikon_0017.jpg		no	2:00	2:05	120.000	125.000	5.000	Ramses			30.12.04 (Do) 13:57		
DsCkZiH_Nikon_0018.jpg		no	2:05	2:10	125.000	130.000	5.000	Ramses			9.7.05 (Sa) 9:08		
DsCkZiM_Nikon_0019.jpg		no	2:10	2:15	130.000	135.000	5.000	Ramses			9.7.05 (Sa) 9:08		
DsCkZiT_Nikon_0020.jpg		no	2:15	2:20	135.000	140.000	5.000	Ramses			9.7.05 (Sa) 9:08		
DsCkZiZ_Nikon_0010.jpg		no	2:20	2:25	140.000	145.000	5.000	Ramses			9.7.05 (Sa) 9:09		
DsCkZiZ_Nikon_0021.jpg		no	2:25	2:30	145.000	150.000	5.000	Ramses			9.7.05 (Sa) 9:09		
DsCkZjM_Nikon_0022.jpg		no	2:30	2:35	150.000	155.000	5.000	Ramses			9.7.05 (Sa) 9:09		
DsCkZjT_Nikon_0023.jpg		no	2:35	2:40	155.000	160.000	5.000	Ramses			9.7.05 (Sa) 9:09		
DsJhRbT_Nikon_0024.jpg		no	2:40	2:45	160.000	165.000	5.000	Ramses			14.8.05 (So) 17:30		
DsJhRcL_Nikon_0025.jpg		no	2:45	2:50	165.000	170.000	5.000	Ramses			14.8.05 (So) 17:31		
DsJhRdA_Nikon_0408.jpg		no	2:50	2:55	170.000	175.000	5.000	Ramses			14.8.05 (So) 17:31		
DsYbDfQ_Nikon_0435.jpg		no	2:55	3:00	175.000	180.000	5.000	Ramses			30.10.05 (So) 16:41		
DsYbDgK_Nikon_0026.jpg		no	3:00	3:05	180.000	185.000	5.000	Ramses			30.10.05 (So) 16:41		
DsYbDqN_Nikon_0027.jpg		no	3:05	3:10	185.000	190.000	5.000	Ramses			30.10.05 (So) 16:45		
