###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_PoLaQv_Nikon_0005.jpg		no	0:00	0:05	0.000	5.000	5.000	Ramses und Jule			1.8.04 (So) 7:30		
PoLaOp_Nikon_0004.jpg		no	0:05	0:10	5.000	10.000	5.000	Ramses und Jule			1.8.04 (So) 7:29		
PoLaQv_Nikon_0005.jpg		no	0:10	0:15	10.000	15.000	5.000	Ramses und Jule			1.8.04 (So) 7:30		
PoLaQx_Nikon_0006.jpg		no	0:15	0:20	15.000	20.000	5.000	Ramses und Jule			1.8.04 (So) 7:30		
QqLiYt_Nikon_0007.jpg		no	0:20	0:25	20.000	25.000	5.000	Ramses und Jule			25.12.04 (Sa) 10:19		
QrKrHv_Nikon_0008.jpg		no	0:25	0:30	25.000	30.000	5.000	Ramses und Jule			30.12.04 (Do) 13:56		
QrKrHy_Nikon_0009.jpg		no	0:30	0:35	30.000	35.000	5.000	Ramses und Jule			30.12.04 (Do) 13:56		
QrKrIk_Nikon_0010.jpg		no	0:35	0:40	35.000	40.000	5.000	Ramses und Jule			30.12.04 (Do) 13:56		
QrKrIn_Nikon_0011.jpg		no	0:40	0:45	40.000	45.000	5.000	Ramses und Jule			30.12.04 (Do) 13:56		
QrKrIp_Nikon_0012.jpg		no	0:45	0:50	45.000	50.000	5.000	Ramses und Jule			30.12.04 (Do) 13:56		
QrKrIr_Nikon_0013.jpg		no	0:50	0:55	50.000	55.000	5.000	Ramses und Jule			30.12.04 (Do) 13:56		
QrKrIu_Nikon_0014.jpg		no	0:55	1:00	55.000	60.000	5.000	Ramses und Jule			30.12.04 (Do) 13:56		
QrKrIy_Nikon_0015.jpg		no	1:00	1:05	60.000	65.000	5.000	Ramses und Jule			30.12.04 (Do) 13:57		
SyBdIv_Nikon_0016.jpg		no	1:05	1:10	65.000	70.000	5.000	Ramses und Jule			30.10.05 (So) 16:42		
SyBdJi_Nikon_0017.jpg		no	1:10	1:15	70.000	75.000	5.000	Ramses und Jule			30.10.05 (So) 16:42		
SyBdJs_Nikon_0018.jpg		no	1:15	1:20	75.000	80.000	5.000	Ramses und Jule			30.10.05 (So) 16:42		
SyBdKj_Nikon_0016.jpg		no	1:20	1:25	80.000	85.000	5.000	Ramses und Jule			30.10.05 (So) 16:43		
SyBdKj_Nikon_0019.jpg		no	1:25	1:30	85.000	90.000	5.000	Ramses und Jule			30.10.05 (So) 16:43		
SyBdKw_Nikon_0020.jpg		no	1:30	1:35	90.000	95.000	5.000	Ramses und Jule			30.10.05 (So) 16:43		
SyBdLb_Nikon_0021.jpg		no	1:35	1:40	95.000	100.000	5.000	Ramses und Jule			30.10.05 (So) 16:43		
