###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_PwRpG_Nikon_0887.jpg		no	0:00	0:05	0.000	5.000	5.000	Buscher kommt			10.3.07 (Sa) 13:00		
OuIaI_Nokia_0001.jpg		no	0:05	0:10	5.000	10.000	5.000	Buscher kommt			4.3.07 (So) 18:30		
OuIaI_Nokia_0002.jpg		no	0:10	0:15	10.000	15.000	5.000	Buscher kommt			4.3.07 (So) 18:30		
PwRpG_Nikon_0880.jpg		no	0:15	0:20	15.000	20.000	5.000	Buscher kommt			10.3.07 (Sa) 13:00		
PwRpG_Nikon_0887.jpg		no	0:20	0:25	20.000	25.000	5.000	Buscher kommt			10.3.07 (Sa) 13:00		
PxXoA_Nikon_0888.jpg		no	0:25	0:30	25.000	30.000	5.000	Buscher kommt			10.3.07 (Sa) 19:00		
PxXoA_Nikon_0894.jpg		no	0:30	0:35	30.000	35.000	5.000	Buscher kommt			10.3.07 (Sa) 19:00		
PxXoA_Nikon_0895.jpg		no	0:35	0:40	35.000	40.000	5.000	Buscher kommt			10.3.07 (Sa) 19:00		
QaJoN_Nikon_0902.jpg		no	0:40	0:45	40.000	45.000	5.000	Buscher kommt			11.3.07 (So) 7:01		
QaJqW_Nikon_0907.jpg		no	0:45	0:50	45.000	50.000	5.000	Buscher kommt			11.3.07 (So) 7:02		
QaJsU_Nikon_0909.jpg		no	0:50	0:55	50.000	55.000	5.000	Buscher kommt			11.3.07 (So) 7:03		
QaQdC_Nikon_0938.jpg		no	0:55	1:00	55.000	60.000	5.000	Buscher kommt			11.3.07 (So) 8:15		
QaQfI_Nikon_0941.jpg		no	1:00	1:05	60.000	65.000	5.000	Buscher kommt			11.3.07 (So) 8:16		
