###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_DSC_1299.jpg		no	0:00	0:05	0.000	5.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 11:14		
DSC_1261.jpg		no	0:05	0:10	5.000	10.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:27		
DSC_1262.jpg		no	0:10	0:15	10.000	15.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:34		
DSC_1263.jpg		no	0:15	0:20	15.000	20.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:34		
DSC_1267.jpg		no	0:20	0:25	20.000	25.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:47		
DSC_1269.jpg		no	0:25	0:30	25.000	30.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:48		
DSC_1270.jpg		no	0:30	0:35	30.000	35.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:49		
DSC_1271.jpg		no	0:35	0:40	35.000	40.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:49		
DSC_1272.jpg		no	0:40	0:45	40.000	45.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:49		
DSC_1273.jpg		no	0:45	0:50	45.000	50.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:49		
DSC_1274.jpg		no	0:50	0:55	50.000	55.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:49		
DSC_1275.jpg		no	0:55	1:00	55.000	60.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:50		
DSC_1276.jpg		no	1:00	1:05	60.000	65.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:50		
DSC_1277.jpg		no	1:05	1:10	65.000	70.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:50		
DSC_1278.jpg		no	1:10	1:15	70.000	75.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:50		
DSC_1279.jpg		no	1:15	1:20	75.000	80.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:51		
DSC_1281.jpg		no	1:20	1:25	80.000	85.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:52		
DSC_1282.jpg		no	1:25	1:30	85.000	90.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:52		
DSC_1283.jpg		no	1:30	1:35	90.000	95.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:52		
DSC_1284.jpg		no	1:35	1:40	95.000	100.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:52		
DSC_1285.jpg		no	1:40	1:45	100.000	105.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:52		
DSC_1287.jpg		no	1:45	1:50	105.000	110.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:52		
DSC_1292.jpg		no	1:50	1:55	110.000	115.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:58		
DSC_1296.jpg		no	1:55	2:00	115.000	120.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 8:59		
DSC_1299.jpg		no	2:00	2:05	120.000	125.000	5.000	Jule und Buscher Herbst			16.9.07 (So) 11:14		
