###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_0288.jpg		no	0:00	0:05	0.000	5.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:23		
IMG_0289.jpg		no	0:05	0:10	5.000	10.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:23		
IMG_0294.jpg		no	0:10	0:15	10.000	15.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:24		
IMG_0295.jpg		no	0:15	0:20	15.000	20.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:25		
IMG_0296.jpg		no	0:20	0:25	20.000	25.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:25		
IMG_0297.jpg		no	0:25	0:30	25.000	30.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:30		
IMG_0299.jpg		no	0:30	0:35	30.000	35.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:31		
IMG_0301.jpg		no	0:35	0:40	35.000	40.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:31		
IMG_0302.jpg		no	0:40	0:45	40.000	45.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:32		
IMG_0304.jpg		no	0:45	0:50	45.000	50.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:41		
IMG_0305.jpg		no	0:50	0:55	50.000	55.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:52		
IMG_0307.jpg		no	0:55	1:00	55.000	60.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:52		
IMG_0312.jpg		no	1:00	1:05	60.000	65.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:57		
IMG_0314.jpg		no	1:05	1:10	65.000	70.000	5.000	Bismarckturm und Kobel			10.2.08 (So) 9:57		
