###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_0005.jpg		no	0:00	0:05	0.000	5.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:11		
IMG_0006.jpg		no	0:05	0:10	5.000	10.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:11		
IMG_0007.jpg		no	0:10	0:15	10.000	15.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:11		
IMG_0021.jpg		no	0:15	0:20	15.000	20.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:16		
IMG_0044.jpg		no	0:20	0:25	20.000	25.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:26		
IMG_0045.jpg		no	0:25	0:30	25.000	30.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:27		
IMG_0046.jpg		no	0:30	0:35	30.000	35.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:27		
IMG_0050.jpg		no	0:35	0:40	35.000	40.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:29		
IMG_0056.jpg		no	0:40	0:45	40.000	45.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:39		
IMG_0057.jpg		no	0:45	0:50	45.000	50.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:39		
IMG_0058.jpg		no	0:50	0:55	50.000	55.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:40		
IMG_0059.jpg		no	0:55	1:00	55.000	60.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:40		
IMG_0060.jpg		no	1:00	1:05	60.000	65.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:40		
IMG_0061.jpg		no	1:05	1:10	65.000	70.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:40		
IMG_0064.jpg		no	1:10	1:15	70.000	75.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:42		
IMG_0066.jpg		no	1:15	1:20	75.000	80.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:47		
IMG_0067.jpg		no	1:20	1:25	80.000	85.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:47		
IMG_0071.jpg		no	1:25	1:30	85.000	90.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:48		
IMG_0072.jpg		no	1:30	1:35	90.000	95.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:48		
IMG_0073.jpg		no	1:35	1:40	95.000	100.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:49		
IMG_0074.jpg		no	1:40	1:45	100.000	105.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:49		
IMG_0077.jpg		no	1:45	1:50	105.000	110.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:49		
IMG_0079.jpg		no	1:50	1:55	110.000	115.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:52		
IMG_0081.jpg		no	1:55	2:00	115.000	120.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:53		
IMG_0082.jpg		no	2:00	2:05	120.000	125.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:53		
IMG_0083.jpg		no	2:05	2:10	125.000	130.000	5.000	Inka und Ronja			20.10.08 (Mo) 10:53		
