###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_0020.jpg		no	0:00	0:05	0.000	5.000	5.000	Ronja			20.10.08 (Mo) 10:16		
IMG_0008.jpg		no	0:05	0:10	5.000	10.000	5.000	Ronja			20.10.08 (Mo) 10:12		
IMG_0009.jpg		no	0:10	0:15	10.000	15.000	5.000	Ronja			20.10.08 (Mo) 10:12		
IMG_0012.jpg		no	0:15	0:20	15.000	20.000	5.000	Ronja			20.10.08 (Mo) 10:13		
IMG_0013.jpg		no	0:20	0:25	20.000	25.000	5.000	Ronja			20.10.08 (Mo) 10:13		
IMG_0015.jpg		no	0:25	0:30	25.000	30.000	5.000	Ronja			20.10.08 (Mo) 10:14		
IMG_0017.jpg		no	0:30	0:35	30.000	35.000	5.000	Ronja			20.10.08 (Mo) 10:15		
IMG_0020.jpg		no	0:35	0:40	35.000	40.000	5.000	Ronja			20.10.08 (Mo) 10:16		
IMG_0022.jpg		no	0:40	0:45	40.000	45.000	5.000	Ronja			20.10.08 (Mo) 10:17		
IMG_0023.jpg		no	0:45	0:50	45.000	50.000	5.000	Ronja			20.10.08 (Mo) 10:17		
IMG_0024.jpg		no	0:50	0:55	50.000	55.000	5.000	Ronja			20.10.08 (Mo) 10:18		
IMG_0025.jpg		no	0:55	1:00	55.000	60.000	5.000	Ronja			20.10.08 (Mo) 10:18		
IMG_0026.jpg		no	1:00	1:05	60.000	65.000	5.000	Ronja			20.10.08 (Mo) 10:19		
IMG_0027.jpg		no	1:05	1:10	65.000	70.000	5.000	Ronja			20.10.08 (Mo) 10:19		
IMG_0030.jpg		no	1:10	1:15	70.000	75.000	5.000	Ronja			20.10.08 (Mo) 10:21		
IMG_0031.jpg		no	1:15	1:20	75.000	80.000	5.000	Ronja			20.10.08 (Mo) 10:21		
IMG_0032.jpg		no	1:20	1:25	80.000	85.000	5.000	Ronja			20.10.08 (Mo) 10:22		
IMG_0035.jpg		no	1:25	1:30	85.000	90.000	5.000	Ronja			20.10.08 (Mo) 10:23		
IMG_0036.jpg		no	1:30	1:35	90.000	95.000	5.000	Ronja			20.10.08 (Mo) 10:23		
IMG_0039.jpg		no	1:35	1:40	95.000	100.000	5.000	Ronja			20.10.08 (Mo) 10:24		
IMG_0040.jpg		no	1:40	1:45	100.000	105.000	5.000	Ronja			20.10.08 (Mo) 10:25		
IMG_0041.jpg		no	1:45	1:50	105.000	110.000	5.000	Ronja			20.10.08 (Mo) 10:25		
IMG_0042.jpg		no	1:50	1:55	110.000	115.000	5.000	Ronja			20.10.08 (Mo) 10:26		
IMG_0043.jpg		no	1:55	2:00	115.000	120.000	5.000	Ronja			20.10.08 (Mo) 10:26		
IMG_0047.jpg		no	2:00	2:05	120.000	125.000	5.000	Ronja			20.10.08 (Mo) 10:27		
IMG_0048.jpg		no	2:05	2:10	125.000	130.000	5.000	Ronja			20.10.08 (Mo) 10:28		
IMG_0053.jpg		no	2:10	2:15	130.000	135.000	5.000	Ronja			20.10.08 (Mo) 10:31		
IMG_0054.jpg		no	2:15	2:20	135.000	140.000	5.000	Ronja			20.10.08 (Mo) 10:35		
IMG_0070.jpg		no	2:20	2:25	140.000	145.000	5.000	Ronja			20.10.08 (Mo) 10:48		
IMG_0076.jpg		no	2:25	2:30	145.000	150.000	5.000	Ronja			20.10.08 (Mo) 10:49		
IMG_0080.jpg		no	2:30	2:35	150.000	155.000	5.000	Ronja			20.10.08 (Mo) 10:52		
