###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_EdJeKjD_E400_3685.jpg		no	0:00	0:05	0.000	5.000	5.000	Buscher			7.9.09 (Mo) 16:48		
DxBaDdY_Nikon_0002.jpg		no	0:05	0:10	5.000	10.000	5.000	Buscher			7.5.07 (Mo) 10:08		
DyFhCuL_Nikon_0005.jpg		no	0:10	0:15	10.000	15.000	5.000	Buscher			12.10.07 (Fr) 12:22		
DzGyKjG_E400_0377.jpg		no	0:15	0:20	15.000	20.000	5.000	Buscher			3.3.08 (Mo) 20:06		
DzObDcW_E400_0989.jpg		no	0:20	0:25	20.000	25.000	5.000	Buscher			10.4.08 (Do) 9:57		
DzOqOmF_E400_0(1).jpg		no	0:25	0:30	25.000	30.000	5.000	Buscher			13.4.08 (So) 13:19		
DzOqOmF_E400_1280.jpg		no	0:30	0:35	30.000	35.000	5.000	Buscher			13.4.08 (So) 13:19		
DzOrKfJ_E400_1321.jpg		no	0:35	0:40	35.000	40.000	5.000	Buscher			13.4.08 (So) 17:24		
DzPxYsS_E400_1458.jpg		no	0:40	0:45	40.000	45.000	5.000	Buscher			20.4.08 (So) 8:22		
EdJeKjD_E400_3685.jpg		no	0:45	0:50	45.000	50.000	5.000	Buscher			7.9.09 (Mo) 16:48		
EdLlJiJ_E400_3814.jpg		no	0:50	0:55	50.000	55.000	5.000	Buscher			19.9.09 (Sa) 16:40		
