###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_DzAzSkK_E400_0145.jpg		no	0:00	0:05	0.000	5.000	5.000	Buscher			3.2.08 (So) 8:52		
DwVmZaV_Nikon_0019.jpg		no	0:05	0:10	5.000	10.000	5.000	Buscher			9.4.07 (Mo) 8:12		
DwXyXoM_Nikon_0025.jpg		no	0:10	0:15	10.000	15.000	5.000	Buscher			22.4.07 (So) 8:23		
DxAuZzH_Nikon_0012.jpg		no	0:15	0:20	15.000	20.000	5.000	Buscher			6.5.07 (So) 10:07		
DxAzXvM_Nikon_0014.jpg		no	0:20	0:25	20.000	25.000	5.000	Buscher			7.5.07 (Mo) 10:08		
DyAdKjR_Nikon_1263.jpg		no	0:25	0:30	25.000	30.000	5.000	Buscher			16.9.07 (So) 8:34		
DyAdLrA_Nikon_1270.jpg		no	0:30	0:35	30.000	35.000	5.000	Buscher			16.9.07 (So) 8:49		
DyFbVjE_Nikon_0046.jpg		no	0:35	0:40	35.000	40.000	5.000	Buscher			11.10.07 (Do) 11:34		
DyFgXlZ_Nikon_0061.jpg		no	0:40	0:45	40.000	45.000	5.000	Buscher			12.10.07 (Fr) 12:22		
DzAzSfR_E400_0100.jpg		no	0:45	0:50	45.000	50.000	5.000	Buscher			3.2.08 (So) 8:50		
DzAzSgX_E400_0112.jpg		no	0:50	0:55	50.000	55.000	5.000	Buscher			3.2.08 (So) 8:51		
DzAzSkK_E400_0145.jpg		no	0:55	1:00	55.000	60.000	5.000	Buscher			3.2.08 (So) 8:52		
DzAzStD_E400_0167.jpg		no	1:00	1:05	60.000	65.000	5.000	Buscher			3.2.08 (So) 8:56		
DzAzStE_E400_0169.jpg		no	1:05	1:10	65.000	70.000	5.000	Buscher			3.2.08 (So) 8:56		
DzAzStK_E400_0174.jpg		no	1:10	1:15	70.000	75.000	5.000	Buscher			3.2.08 (So) 8:56		
DzEbDgL_E400_0331.jpg		no	1:15	1:20	75.000	80.000	5.000	Buscher			19.2.08 (Di) 12:36		
DzEyYzR_E400_0365.jpg		no	1:20	1:25	80.000	85.000	5.000	Buscher			24.2.08 (So) 8:59		
DzGyKjG_E400_0377.jpg		no	1:25	1:30	85.000	90.000	5.000	Buscher			3.3.08 (Mo) 20:06		
DzOaXuK_E400_0989.jpg		no	1:30	1:35	90.000	95.000	5.000	Buscher			10.4.08 (Do) 9:57		
DzOfSzF_E400_1153.jpg		no	1:35	1:40	95.000	100.000	5.000	Buscher			11.4.08 (Fr) 9:28		
DzOqJdT_E400_1280.jpg		no	1:40	1:45	100.000	105.000	5.000	Buscher			13.4.08 (So) 13:19		
DzOrEwX_E400_1321.jpg		no	1:45	1:50	105.000	110.000	5.000	Buscher			13.4.08 (So) 17:24		
DzPxTkG_E400_1458.jpg		no	1:50	1:55	110.000	115.000	5.000	Buscher			20.4.08 (So) 8:22		
EaXaKgD_E400_2298.jpg		no	1:55	2:00	115.000	120.000	5.000	Buscher			9.10.08 (Do) 10:14		
EaYeCkH_E400_2470.jpg		no	2:00	2:05	120.000	125.000	5.000	Buscher			15.10.08 (Mi) 11:14		
EbGwDhZ_E400_2580.jpg		no	2:05	2:10	125.000	130.000	5.000	Buscher			30.11.08 (So) 9:47		
EbGwEbV_E400_2604.jpg		no	2:10	2:15	130.000	135.000	5.000	Buscher			30.11.08 (So) 9:55		
EbGwEhW_E400_2616.jpg		no	2:15	2:20	135.000	140.000	5.000	Buscher			30.11.08 (So) 9:58		
EbVlXrN_E400_2714.jpg		no	2:20	2:25	140.000	145.000	5.000	Buscher			14.2.09 (Sa) 15:58		
EcGaDqV_E400_2912.jpg		no	2:25	2:30	145.000	150.000	5.000	Buscher			8.4.09 (Mi) 11:49		
EcGaDqV_E400_2913.jpg		no	2:30	2:35	150.000	155.000	5.000	Buscher			8.4.09 (Mi) 11:49		
EcLnKoB_E400_3320.jpg		no	2:35	2:40	155.000	160.000	5.000	Buscher			6.5.09 (Mi) 15:16		
EcLnLeJ_E400_3329.jpg		no	2:40	2:45	160.000	165.000	5.000	Buscher			6.5.09 (Mi) 15:23		
EdGiOgN_E400_3649.jpg		no	2:45	2:50	165.000	170.000	5.000	Buscher			23.8.09 (So) 17:15		
EdGiOgQ_E400_3653.jpg		no	2:50	2:55	170.000	175.000	5.000	Buscher			23.8.09 (So) 17:15		
EdGiPeI_E400_3680.jpg		no	2:55	3:00	175.000	180.000	5.000	Buscher			23.8.09 (So) 17:25		
EdJeFaP_E400_3683.jpg		no	3:00	3:05	180.000	185.000	5.000	Buscher			7.9.09 (Mo) 16:48		
EdJeFaR_E400_3685.jpg		no	3:05	3:10	185.000	190.000	5.000	Buscher			7.9.09 (Mo) 16:48		
EdJeFaT_E400_3686.jpg		no	3:10	3:15	190.000	195.000	5.000	Buscher			7.9.09 (Mo) 16:48		
EdKgInU_E400_3693.jpg		no	3:15	3:20	195.000	200.000	5.000	Buscher			13.9.09 (So) 10:10		
EdKgUcG_E400_3724.jpg		no	3:20	3:25	200.000	205.000	5.000	Buscher			13.9.09 (So) 12:20		
EdLlDsY_E400_3806.jpg		no	3:25	3:30	205.000	210.000	5.000	Buscher			19.9.09 (Sa) 16:37		
EdLlDxM_E400_3812.jpg		no	3:30	3:35	210.000	215.000	5.000	Buscher			19.9.09 (Sa) 16:39		
EdLlDzX_E400_3814.jpg		no	3:35	3:40	215.000	220.000	5.000	Buscher			19.9.09 (Sa) 16:40		
