###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_EcFcNiW_Unbek_0535.jpg		no	0:00	0:05	0.000	5.000	5.000	Max - der Sohn von Jule			3.4.09 (Fr) 16:28		
DyUxUcM_Unbek_0540.jpg		no	0:05	0:10	5.000	10.000	5.000	Max - der Sohn von Jule			2.1.08 (Mi) 5:48		
DyVhNlJ_Unbek_0541.jpg		no	0:10	0:15	10.000	15.000	5.000	Max - der Sohn von Jule			4.1.08 (Fr) 5:22		
EbJnJwX_Unbek_0542.jpg		no	0:15	0:20	15.000	20.000	5.000	Max - der Sohn von Jule			13.12.08 (Sa) 11:53		
EbJnJzH_Unbek_0533.jpg		no	0:20	0:25	20.000	25.000	5.000	Max - der Sohn von Jule			13.12.08 (Sa) 11:54		
EbJnKaR_Unbek_0538.jpg		no	0:25	0:30	25.000	30.000	5.000	Max - der Sohn von Jule			13.12.08 (Sa) 11:55		
EbJnKbL_Unbek_0537.jpg		no	0:30	0:35	30.000	35.000	5.000	Max - der Sohn von Jule			13.12.08 (Sa) 11:55		
EbLsFyW_Unbek_0529.jpg		no	0:35	0:40	35.000	40.000	5.000	Max - der Sohn von Jule			25.12.08 (Do) 1:26		
EcFcNiW_Unbek_0535.jpg		no	0:40	0:45	40.000	45.000	5.000	Max - der Sohn von Jule			3.4.09 (Fr) 16:28		
EcFcNjQ_Unbek_0534.jpg		no	0:45	0:50	45.000	50.000	5.000	Max - der Sohn von Jule			3.4.09 (Fr) 16:28		
EcSoOsA_Unbek_0526.jpg		no	0:50	0:55	50.000	55.000	5.000	Max - der Sohn von Jule			12.6.09 (Fr) 21:30		
EcTrTlM_Unbek_0527.jpg		no	0:55	1:00	55.000	60.000	5.000	Max - der Sohn von Jule			18.6.09 (Do) 19:58		
EcTrYiR_Unbek_0525.jpg		no	1:00	1:05	60.000	65.000	5.000	Max - der Sohn von Jule			18.6.09 (Do) 20:54		
EgNeSfK_Unbek_0528.jpg		no	1:05	1:10	65.000	70.000	5.000	Max - der Sohn von Jule			7.11.10 (So) 11:11		
