###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_5075.jpg		no	0:00	0:05	0.000	5.000	5.000	Jule im Garten			12.9.10 (So) 10:34		
IMG_5073.jpg		no	0:05	0:10	5.000	10.000	5.000	Jule im Garten			12.9.10 (So) 10:33		
IMG_5075.jpg		no	0:10	0:15	10.000	15.000	5.000	Jule im Garten			12.9.10 (So) 10:34		
IMG_5076.jpg		no	0:15	0:20	15.000	20.000	5.000	Jule im Garten			12.9.10 (So) 10:34		
IMG_5077.jpg		no	0:20	0:25	20.000	25.000	5.000	Jule im Garten			12.9.10 (So) 10:34		
IMG_5078.jpg		no	0:25	0:30	25.000	30.000	5.000	Jule im Garten			12.9.10 (So) 10:34		
IMG_5079.jpg		no	0:30	0:35	30.000	35.000	5.000	Jule im Garten			12.9.10 (So) 10:34		
IMG_5080.jpg		no	0:35	0:40	35.000	40.000	5.000	Jule im Garten			12.9.10 (So) 10:35		
IMG_5081.jpg		no	0:40	0:45	40.000	45.000	5.000	Jule im Garten			12.9.10 (So) 10:35		
IMG_5084.jpg		no	0:45	0:50	45.000	50.000	5.000	Jule im Garten			12.9.10 (So) 10:36		
