###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_EoJuKvK_E400_2369.jpg		no	0:00	0:05	0.000	5.000	5.000	Jule	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:13		
DzMhYuP_E400_0582.jpg		no	0:05	0:10	5.000	10.000	5.000	Jule			1.4.08 (Di) 6:27		
EoJuKvK_E400_2369(1).jpg		no	0:10	0:15	10.000	15.000	5.000	Jule	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:13		
EoJuKvK_E400_2369.jpg		no	0:15	0:20	15.000	20.000	5.000	Jule	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:13		
EoJuKvK_Scrsh_8060.jpg		no	0:20	0:25	20.000	25.000	5.000	Jule			4.10.13 (Fr) 16:13		
EsNjYvC_iPh5s_1710(1).jpg		no	0:25	0:30	25.000	30.000	5.000	Jule			15.4.15 (Mi) 18:25		
EsNjYvC_iPh5s_1710.jpg		no	0:30	0:35	30.000	35.000	5.000	Jule			15.4.15 (Mi) 18:25		
EsNjYvP_iPh5s_1712.jpg		no	0:35	0:40	35.000	40.000	5.000	Jule			15.4.15 (Mi) 18:25		
EsNjYwH_iPh5s_1718.jpg		no	0:40	0:45	40.000	45.000	5.000	Jule			15.4.15 (Mi) 18:25		
EsNnHuW_iPh5s_1726.jpg		no	0:45	0:50	45.000	50.000	5.000	Jule			16.4.15 (Do) 10:45		
EsNsBsC_iPh5s_1752.jpg		no	0:50	0:55	50.000	55.000	5.000	Jule			17.4.15 (Fr) 10:01		
EsNsBsC_iPh5s_1753.jpg		no	0:55	1:00	55.000	60.000	5.000	Jule			17.4.15 (Fr) 10:01		
EsNsMkD_iPh5s_1754.jpg		no	1:00	1:05	60.000	65.000	5.000	Jule			17.4.15 (Fr) 12:01		
EsOfXwX_iPh5s_1762.jpg		no	1:05	1:10	65.000	70.000	5.000	Jule			20.4.15 (Mo) 5:39		
EsPfYnP_iPh5s_1783.jpg		no	1:10	1:15	70.000	75.000	5.000	Jule			25.4.15 (Sa) 12:42		
EsPfYsG_iPh5s_1784.jpg		no	1:15	1:20	75.000	80.000	5.000	Jule			25.4.15 (Sa) 12:44		
EsPfYsH_iPh5s_1785.jpg		no	1:20	1:25	80.000	85.000	5.000	Jule			25.4.15 (Sa) 12:44		
EsPfYsN_iPh5s_1786.jpg		no	1:25	1:30	85.000	90.000	5.000	Jule			25.4.15 (Sa) 12:44		
EsPfYsO_iPh5s_1787.jpg		no	1:30	1:35	90.000	95.000	5.000	Jule			25.4.15 (Sa) 12:44		
EsPfYuR_iPh5s_1788.jpg		no	1:35	1:40	95.000	100.000	5.000	Jule			25.4.15 (Sa) 12:45		
EsPfYvD_iPh5s_1790.jpg		no	1:40	1:45	100.000	105.000	5.000	Jule			25.4.15 (Sa) 12:46		
EsPoYsU_iPh5s_1794.jpg		no	1:45	1:50	105.000	110.000	5.000	Jule			27.4.15 (Mo) 8:41		
EsRgXiY_iPh5s_0010.jpg		no	1:50	1:55	110.000	115.000	5.000	Jule			5.5.15 (Di) 7:15		
EsRwUwS_E400_4690.jpg		no	1:55	2:00	115.000	120.000	5.000	Jule			8.5.15 (Fr) 12:54		
EsRwVaS_E400_4694.jpg		no	2:00	2:05	120.000	125.000	5.000	Jule			8.5.15 (Fr) 12:55		
EsRwVbM_E400_4695.jpg		no	2:05	2:10	125.000	130.000	5.000	Jule			8.5.15 (Fr) 12:56		
