###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
SnIqQa_Unbek_0025.jpg		no	0:00	0:05	0.000	5.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_0027.jpg		no	0:05	0:10	5.000	10.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_0029.jpg		no	0:10	0:15	10.000	15.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_0030.jpg		no	0:15	0:20	15.000	20.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_0041.jpg		no	0:20	0:25	20.000	25.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_0109.jpg		no	0:25	0:30	25.000	30.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8054.jpg		no	0:30	0:35	30.000	35.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8055.jpg		no	0:35	0:40	35.000	40.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8079.jpg		no	0:40	0:45	40.000	45.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8080.jpg		no	0:45	0:50	45.000	50.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8081.jpg		no	0:50	0:55	50.000	55.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8124.jpg		no	0:55	1:00	55.000	60.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8125.jpg		no	1:00	1:05	60.000	65.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8126.jpg		no	1:05	1:10	65.000	70.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8127.jpg		no	1:10	1:15	70.000	75.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8128.jpg		no	1:15	1:20	75.000	80.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8174.jpg		no	1:20	1:25	80.000	85.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8175.jpg		no	1:25	1:30	85.000	90.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8176.jpg		no	1:30	1:35	90.000	95.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8180.jpg		no	1:35	1:40	95.000	100.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8181.jpg		no	1:40	1:45	100.000	105.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8182.jpg		no	1:45	1:50	105.000	110.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8183.jpg		no	1:50	1:55	110.000	115.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8185.jpg		no	1:55	2:00	115.000	120.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SnIqQa_Unbek_8186.jpg		no	2:00	2:05	120.000	125.000	5.000	Janos kommt			15.4.15 (Mi) 12:00		
SvHaEi_E400_4702.jpg		no	2:05	2:10	125.000	130.000	5.000	Janos kommt			26.5.15 (Di) 11:31		
SvHaEj_E400_4703.jpg		no	2:10	2:15	130.000	135.000	5.000	Janos kommt			26.5.15 (Di) 11:31		
SvHaEq_E400_4704.jpg		no	2:15	2:20	135.000	140.000	5.000	Janos kommt			26.5.15 (Di) 11:32		
SvHaEr_E400_4705.jpg		no	2:20	2:25	140.000	145.000	5.000	Janos kommt			26.5.15 (Di) 11:32		
SvHaEs_E400_4706.jpg		no	2:25	2:30	145.000	150.000	5.000	Janos kommt			26.5.15 (Di) 11:32		
SvHaGm_E400_4708.jpg		no	2:30	2:35	150.000	155.000	5.000	Janos kommt			26.5.15 (Di) 11:32		
SvHlHk_iPh5s_0049.jpg		no	2:35	2:40	155.000	160.000	5.000	Janos kommt			26.5.15 (Di) 13:37		
SvHlIh_iPh5s_0050.jpg		no	2:40	2:45	160.000	165.000	5.000	Janos kommt			26.5.15 (Di) 13:37		
SvHlLh_iPh5s_0052.jpg		no	2:45	2:50	165.000	170.000	5.000	Janos kommt			26.5.15 (Di) 13:38		
SvHlNk_iPh5s_0053.jpg		no	2:50	2:55	170.000	175.000	5.000	Janos kommt			26.5.15 (Di) 13:39		
SvHmHx_iPh5s_0055.jpg		no	2:55	3:00	175.000	180.000	5.000	Janos kommt			26.5.15 (Di) 13:48		
SvHmIl_iPh5s_0054.jpg		no	3:00	3:05	180.000	185.000	5.000	Janos kommt			26.5.15 (Di) 13:48		
SvImGi_E400_4709.jpg		no	3:05	3:10	185.000	190.000	5.000	Janos kommt			26.5.15 (Di) 18:40		
SvImSy_E400_4724.jpg		no	3:10	3:15	190.000	195.000	5.000	Janos kommt			26.5.15 (Di) 18:46		
SvImUk_E400_4726.jpg		no	3:15	3:20	195.000	200.000	5.000	Janos kommt			26.5.15 (Di) 18:46		
SvMoKu_iPh5s_0058.jpg		no	3:20	3:25	200.000	205.000	5.000	Janos kommt			27.5.15 (Mi) 14:37		
SvNtJy_iPh5s_0064.jpg		no	3:25	3:30	205.000	210.000	5.000	Janos kommt			27.5.15 (Mi) 20:25		
SvNtMi_iPh5s_0066.jpg		no	3:30	3:35	210.000	215.000	5.000	Janos kommt			27.5.15 (Mi) 20:27		
SvNtOa_iPh5s_0068.jpg		no	3:35	3:40	215.000	220.000	5.000	Janos kommt			27.5.15 (Mi) 20:27		
SvWqIs_iPh5s_0076.jpg		no	3:40	3:45	220.000	225.000	5.000	Janos kommt			29.5.15 (Fr) 15:48		
SvWqLu_iPh5s_0077.jpg		no	3:45	3:50	225.000	230.000	5.000	Janos kommt			29.5.15 (Fr) 15:49		
SvWqPq_iPh5s_0079.jpg		no	3:50	3:55	230.000	235.000	5.000	Janos kommt			29.5.15 (Fr) 15:51		
SwApJp_iPh5s_0084.jpg		no	3:55	4:00	235.000	240.000	5.000	Janos kommt			30.5.15 (Sa) 11:08		
SwApMd_iPh5s_0086.jpg		no	4:00	4:05	240.000	245.000	5.000	Janos kommt			30.5.15 (Sa) 11:09		
SwApNn_iPh5s_0087.jpg		no	4:05	4:10	245.000	250.000	5.000	Janos kommt			30.5.15 (Sa) 11:10		
SwApQd_iPh5s_0089.jpg		no	4:10	4:15	250.000	255.000	5.000	Janos kommt			30.5.15 (Sa) 11:11		
SwApRa_iPh5s_0090.jpg		no	4:15	4:20	255.000	260.000	5.000	Janos kommt			30.5.15 (Sa) 11:12		
SwAuJr_E400_4746.jpg		no	4:20	4:25	260.000	265.000	5.000	Janos kommt			30.5.15 (Sa) 12:05		
SxDdGt_iPh5s_0098.jpg		no	4:25	4:30	265.000	270.000	5.000	Janos kommt			5.6.15 (Fr) 6:27		
SyQcKv_iPh5s_0121.jpg		no	4:30	4:35	270.000	275.000	5.000	Janos kommt			13.6.15 (Sa) 4:42		
SyQmAp_iPh5s_0115.jpg		no	4:35	4:40	275.000	280.000	5.000	Janos kommt			13.6.15 (Sa) 6:30		
SyQmSh_iPh5s_0119.jpg		no	4:40	4:45	280.000	285.000	5.000	Janos kommt			13.6.15 (Sa) 6:38		
TbJrZx_iPh5s_0143.jpg		no	4:45	4:50	285.000	290.000	5.000	Janos kommt			27.6.15 (Sa) 18:16		
TbJsWn_iPh5s_0150.jpg		no	4:50	4:55	290.000	295.000	5.000	Janos kommt			27.6.15 (Sa) 18:26		
TbJuTq_iPh5s_0152.jpg		no	4:55	5:00	295.000	300.000	5.000	Janos kommt			27.6.15 (Sa) 18:47		
