###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_TeWrYq_iPh5s_0256.jpg		no	0:00	0:05	0.000	5.000	5.000	Janos im Sommer			15.7.15 (Mi) 6:32		
TdYgEg_iPh5s_0241.jpg		no	0:05	0:10	5.000	10.000	5.000	Janos im Sommer			10.7.15 (Fr) 7:09		
TeWrUy_iPh5s_0252.jpg		no	0:10	0:15	10.000	15.000	5.000	Janos im Sommer			15.7.15 (Mi) 6:31		
TeWrYp_iPh5s_0254.jpg		no	0:15	0:20	15.000	20.000	5.000	Janos im Sommer			15.7.15 (Mi) 6:32		
TeWrYq_iPh5s_0256.jpg		no	0:20	0:25	20.000	25.000	5.000	Janos im Sommer			15.7.15 (Mi) 6:32		
TeXiEd_iPh5s_0257.jpg		no	0:25	0:30	25.000	30.000	5.000	Janos im Sommer			15.7.15 (Mi) 9:35		
TgZmYj_iPh5s_0358.jpg		no	0:30	0:35	30.000	35.000	5.000	Janos im Sommer			26.7.15 (So) 10:07		
TgZmZp_iPh5s_0359.jpg		no	0:35	0:40	35.000	40.000	5.000	Janos im Sommer			26.7.15 (So) 10:08		
TgZnAx_iPh5s_0361.jpg		no	0:40	0:45	40.000	45.000	5.000	Janos im Sommer			26.7.15 (So) 10:08		
TjCkJm_iPh5s_0400.jpg		no	0:45	0:50	45.000	50.000	5.000	Janos im Sommer			6.8.15 (Do) 14:09		
TnJrKm_iPh5s_0474.jpg		no	0:50	0:55	50.000	55.000	5.000	Janos im Sommer			29.8.15 (Sa) 5:24		
UjNzOa_iPh5s_8006.jpg		no	0:55	1:00	55.000	60.000	5.000	Janos im Sommer			22.12.15 (Di) 10:06		
