###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_OdXg_iPh5s_1038.jpg		no	0:00	0:05	0.000	5.000	5.000	Max			6.12.15 (So) 14:06		
NxKe_iPh5s_1027.jpg		no	0:05	0:10	5.000	10.000	5.000	Max			6.12.15 (So) 12:53		
NxLh_iPh5s_1028.jpg		no	0:10	0:15	10.000	15.000	5.000	Max			6.12.15 (So) 12:53		
NxMp_iPh5s_1029.jpg		no	0:15	0:20	15.000	20.000	5.000	Max			6.12.15 (So) 12:54		
NxMx_iPh5s_1030.jpg		no	0:20	0:25	20.000	25.000	5.000	Max			6.12.15 (So) 12:54		
NxNv_iPh5s_8018.jpg		no	0:25	0:30	25.000	30.000	5.000	Max			6.12.15 (So) 12:54		
NxSm_iPh5s_1033.jpg		no	0:30	0:35	30.000	35.000	5.000	Max			6.12.15 (So) 12:56		
NyDj_iPh5s_1034.jpg		no	0:35	0:40	35.000	40.000	5.000	Max			6.12.15 (So) 13:01		
OdNo_iPh5s_1035.jpg		no	0:40	0:45	40.000	45.000	5.000	Max			6.12.15 (So) 14:02		
OdQm_iPh5s_1037.jpg		no	0:45	0:50	45.000	50.000	5.000	Max			6.12.15 (So) 14:03		
OdXg_iPh5s_1038.jpg		no	0:50	0:55	50.000	55.000	5.000	Max			6.12.15 (So) 14:06		
OdYe_iPh5s_1039.jpg		no	0:55	1:00	55.000	60.000	5.000	Max			6.12.15 (So) 14:06		
