###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
00.jpg		no	0:00	0:05	0.000	5.000	5.000	Best of Hunde			12.1.03 (So) 16:28		
01.jpg		no	0:05	0:10	5.000	10.000	5.000	Best of Hunde					
03.jpg		no	0:10	0:15	10.000	15.000	5.000	Best of Hunde					
03a.jpg		no	0:15	0:20	15.000	20.000	5.000	Best of Hunde			9.7.05 (Sa) 9:09		
04.jpg		no	0:20	0:25	20.000	25.000	5.000	Best of Hunde			19.12.02 (Do) 19:53		
05.jpg		no	0:25	0:30	25.000	30.000	5.000	Best of Hunde					
06.jpg		no	0:30	0:35	30.000	35.000	5.000	Best of Hunde			12.1.03 (So) 16:28		
07.jpg		no	0:35	0:40	35.000	40.000	5.000	Best of Hunde			16.8.03 (Sa) 7:08		
08.jpg		no	0:40	0:45	40.000	45.000	5.000	Best of Hunde					
09.jpg		no	0:45	0:50	45.000	50.000	5.000	Best of Hunde					
10.jpg		no	0:50	0:55	50.000	55.000	5.000	Best of Hunde			1.1.04 (Do) 9:16		
11.jpg		no	0:55	1:00	55.000	60.000	5.000	Best of Hunde			12.4.04 (Mo) 10:30		
12.jpg		no	1:00	1:05	60.000	65.000	5.000	Best of Hunde			9.7.05 (Sa) 9:08		
13.jpg		no	1:05	1:10	65.000	70.000	5.000	Best of Hunde			1.8.04 (So) 7:30		
14.jpg		no	1:10	1:15	70.000	75.000	5.000	Best of Hunde			30.10.05 (So) 16:43		
15.jpg		no	1:15	1:20	75.000	80.000	5.000	Buscher am Pointe de Plestin			5.5.07 (Sa) 9:31		
16.jpg		no	1:20	1:25	80.000	85.000	5.000	Buscher am Pointe de Plestin			6.5.07 (So) 10:07		
17.jpg		no	1:25	1:30	85.000	90.000	5.000	Jule und Buscher am Pointe de Landunvez			8.5.07 (Di) 10:03		
18.jpg		no	1:30	1:35	90.000	95.000	5.000	Jule und Buscher am Rheinkanal bei Fessenheim			18.5.07 (Fr) 8:31		
