###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_DzAzRyT_E400_0063.jpg		no	0:00	0:05	0.000	5.000	5.000			2008:02:03 08:47:43			
AoJuKvK_E400_2369.jpg		no	0:05	0:10	5.000	10.000	5.000	Jule	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:13		
DpJfCdF_Nikon_0004.jpg		no	0:10	0:15	10.000	15.000	5.000			2004:07:04 15:47:47			
DsCkZgT_Nikon_0009.jpg		no	0:15	0:20	15.000	20.000	5.000			2005:07:09 09:08:03			
DsYbNlV_Nikon_0018.jpg		no	0:20	0:25	20.000	25.000	5.000			2005:10:30 18:36:31			
DuOiRyY_Unbek_0101.jpg		no	0:25	0:30	25.000	30.000	5.000			2006:06:06 10:01:00			
DvBfYcS_Nikon_0859.jpg		no	0:30	0:35	30.000	35.000	5.000			2006:08:12 14:42:54			
DwQaJsU_Nikon_0909.jpg		no	0:35	0:40	35.000	40.000	5.000			2007:03:11 07:03:08			
DxBeVgU_Nikon_1138.jpg		no	0:40	0:45	40.000	45.000	5.000			2007:05:08 10:03:48			
DyFgWwN_Nikon_1385.jpg		no	0:45	0:50	45.000	50.000	5.000			2007:10:12 12:15:45			
DyTqOwQ_Nikon_1454.jpg		no	0:50	0:55	50.000	55.000	5.000			2007:12:26 11:42:44			
DzAzRyT_E400_0063.jpg		no	0:55	1:00	55.000	60.000	5.000			2008:02:03 08:47:43			
DzKqKrL_E400_0459.jpg		no	1:00	1:05	60.000	65.000	5.000			2008:03:23 08:51:57			
DzMhYuP_E400_0582.jpg		no	1:05	1:10	65.000	70.000	5.000			2008:04:01 06:27:11			
DzNsFbU_E400_0806.jpg		no	1:10	1:15	70.000	75.000	5.000			2008:04:08 15:23:30			
DzNsFfK_E400_0815.jpg		no	1:15	1:20	75.000	80.000	5.000			2008:04:08 15:25:04			
DzOaPrX_E400_0971.jpg		no	1:20	1:25	80.000	85.000	5.000			2008:04:10 08:26:37			
DzOfIrK_E400_1108.jpg		no	1:25	1:30	85.000	90.000	5.000			2008:04:11 07:32:12			
DzOfIrZ_E400_1110.jpg		no	1:30	1:35	90.000	95.000	5.000			2008:04:11 07:32:27			
DzOhSwT_E400_1224.jpg		no	1:35	1:40	95.000	100.000	5.000			2008:04:11 19:13:03			
DzOqJdT_E400_1280.jpg		no	1:40	1:45	100.000	105.000	5.000			2008:04:13 13:19:49			
EaCaUeF_E400_1898.jpg		no	1:45	1:50	105.000	110.000	5.000			2008:06:22 10:24:45			
EaCaUhM_E400_1914.jpg		no	1:50	1:55	110.000	115.000	5.000			2008:06:22 10:26:10			
EaGgJjU_E400_2005.jpg		no	1:55	2:00	115.000	120.000	5.000			2008:07:13 17:25:54			
EaKdRfW_E400_2017.jpg		no	2:00	2:05	120.000	125.000	5.000			2008:08:03 08:00:36			
EaPnEzQ_E400_2135.jpg		no	2:05	2:10	125.000	130.000	5.000			2008:08:31 17:13:22			
EaWiEnK_E400_2259.jpg		no	2:10	2:15	130.000	135.000	5.000			2008:10:05 17:17:16			
EaWiUqR_E400_2265.jpg		no	2:15	2:20	135.000	140.000	5.000			2008:10:05 20:18:57			
EaYeCdC_E400_2464.jpg		no	2:20	2:25	140.000	145.000	5.000			2008:10:15 11:11:04			
EaYeCdC_E400_2465.jpg		no	2:25	2:30	145.000	150.000	5.000			2008:10:15 11:11:04			
EbGwEjI_E400_2619.jpg		no	2:30	2:35	150.000	155.000	5.000			2008:11:30 09:59:14			
EcGaDhR_E400_2895.jpg		no	2:35	2:40	155.000	160.000	5.000			2009:04:08 11:45:39			
EcGaDiG_E400_2898.jpg		no	2:40	2:45	160.000	165.000	5.000			2009:04:08 11:45:54			
EcGaDiG_E400_2899.jpg		no	2:45	2:50	165.000	170.000	5.000			2009:04:08 11:45:54			
EcIbRnW_E400_2998.jpg		no	2:50	2:55	170.000	175.000	5.000	Augsburg		2009:04:19 09:11:32			
EcIbRoB_E400_3000.jpg		no	2:55	3:00	175.000	180.000	5.000	Augsburg		2009:04:19 09:11:37			
EdKhVcT_E400_3779.jpg		no	3:00	3:05	180.000	185.000	5.000			2009:09:13 17:24:51			
EdKhVdS_E400_3785.jpg		no	3:05	3:10	185.000	190.000	5.000			2009:09:13 17:25:16			
EdKhVdY_E400_3786.jpg		no	3:10	3:15	190.000	195.000	5.000			2009:09:13 17:25:22			
EdMsYhU_E400_3818.jpg		no	3:15	3:20	195.000	200.000	5.000			2009:09:26 13:35:38			
EdMsYlB_E400_3822.jpg		no	3:20	3:25	200.000	205.000	5.000			2009:09:26 13:37:03			
EdNiRiX_E400_3889.jpg		no	3:25	3:30	205.000	210.000	5.000			2009:09:29 18:24:11			
EeDdYwS_E400_3969.jpg		no	3:30	3:35	210.000	215.000	5.000			2009:12:20 09:24:38			
