###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_ZiIoL_iPh5s_1552.jpg		no	0:00	0:05	0.000	5.000	5.000	Morgenspaziergang mit Jule			3.2.15 (Di) 8:21		
VjDvS_iPh5s_1416.jpg		no	0:05	0:10	5.000	10.000	5.000	Morgenspaziergang mit Jule			13.1.15 (Di) 8:36		
VjEbG_iPh5s_1422.jpg		no	0:10	0:15	10.000	15.000	5.000	Morgenspaziergang mit Jule			13.1.15 (Di) 8:38		
VjEbS_iPh5s_1428.jpg		no	0:15	0:20	15.000	20.000	5.000	Morgenspaziergang mit Jule			13.1.15 (Di) 8:38		
VjEeJ_iPh5s_1430.jpg		no	0:20	0:25	20.000	25.000	5.000	Morgenspaziergang mit Jule			13.1.15 (Di) 8:39		
VsXxE_iPh5s_1440.jpg		no	0:25	0:30	25.000	30.000	5.000	Morgenspaziergang mit Jule			15.1.15 (Do) 8:18		
VsYbT_iPh5s_1447.jpg		no	0:30	0:35	30.000	35.000	5.000	Morgenspaziergang mit Jule			15.1.15 (Do) 8:20		
VsYdF_iPh5s_1457.jpg		no	0:35	0:40	35.000	40.000	5.000	Morgenspaziergang mit Jule			15.1.15 (Do) 8:21		
VsYfE_iPh5s_1462.jpg		no	0:40	0:45	40.000	45.000	5.000	Morgenspaziergang mit Jule			15.1.15 (Do) 8:21		
ZiIiW_iPh5s_1543.jpg		no	0:45	0:50	45.000	50.000	5.000	Morgenspaziergang mit Jule			3.2.15 (Di) 8:19		
ZiIjR_iPh5s_1544.jpg		no	0:50	0:55	50.000	55.000	5.000	Morgenspaziergang mit Jule			3.2.15 (Di) 8:19		
ZiIkI_iPh5s_1545.jpg		no	0:55	1:00	55.000	60.000	5.000	Morgenspaziergang mit Jule			3.2.15 (Di) 8:19		
ZiImC_iPh5s_1547.jpg		no	1:00	1:05	60.000	65.000	5.000	Morgenspaziergang mit Jule			3.2.15 (Di) 8:20		
ZiInY_iPh5s_1550.jpg		no	1:05	1:10	65.000	70.000	5.000	Morgenspaziergang mit Jule			3.2.15 (Di) 8:21		
ZiIoL_iPh5s_1552.jpg		no	1:10	1:15	70.000	75.000	5.000	Morgenspaziergang mit Jule			3.2.15 (Di) 8:21		
