###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_1815.jpg		no	0:00	0:05	0.000	5.000	5.000	Janos Weihnachten			24.12.18 (Mo) 17:32		
IMG_1818.jpg		no	0:05	0:10	5.000	10.000	5.000	Janos Weihnachten			24.12.18 (Mo) 17:32		
IMG_1819.jpg		no	0:10	0:15	10.000	15.000	5.000	Janos Weihnachten			24.12.18 (Mo) 17:32		
IMG_1820.jpg		no	0:15	0:20	15.000	20.000	5.000	Janos Weihnachten			24.12.18 (Mo) 17:32		
IMG_1861.jpg		no	0:20	0:25	20.000	25.000	5.000	Janos Weihnachten			25.12.18 (Di) 17:45		
IMG_1864.jpg		no	0:25	0:30	25.000	30.000	5.000	Janos Weihnachten			25.12.18 (Di) 17:45		
IMG_1865.jpg		no	0:30	0:35	30.000	35.000	5.000	Janos Weihnachten			25.12.18 (Di) 17:45		
IMG_1867.jpg		no	0:35	0:40	35.000	40.000	5.000	Janos Weihnachten			25.12.18 (Di) 17:56		
IMG_1869.jpg		no	0:40	0:45	40.000	45.000	5.000	Janos Weihnachten			25.12.18 (Di) 17:56		
IMG_1870.jpg		no	0:45	0:50	45.000	50.000	5.000	Janos Weihnachten			25.12.18 (Di) 17:57		
IMG_1871.jpg		no	0:50	0:55	50.000	55.000	5.000	Janos Weihnachten			25.12.18 (Di) 17:57		
IMG_1873.jpg		no	0:55	1:00	55.000	60.000	5.000	Janos Weihnachten			25.12.18 (Di) 17:57		
