###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_DsBxI_iPhSE_0010.jpg		no	0:00	0:05	0.000	5.000	5.000	Janos			10.2.18 (Sa) 14:44		
DsBxI_iPhSE_0010(1).jpg		no	0:05	0:10	5.000	10.000	5.000	Janos			10.2.18 (Sa) 14:44		
DsBxI_iPhSE_0010.jpg		no	0:10	0:15	10.000	15.000	5.000	Janos			10.2.18 (Sa) 14:44		
DsBxJ_iPhSE_0011.jpg		no	0:15	0:20	15.000	20.000	5.000	Janos			10.2.18 (Sa) 14:44		
FeFuV_iPhSE_0023.jpg		no	0:20	0:25	20.000	25.000	5.000	Janos			18.2.18 (So) 8:59		
FeFwO_iPhSE_0030.jpg		no	0:25	0:30	25.000	30.000	5.000	Janos			18.2.18 (So) 9:00		
FeFwO_iPhSE_0031.jpg		no	0:30	0:35	30.000	35.000	5.000	Janos			18.2.18 (So) 9:00		
FeFyB_iPhSE_0027.jpg		no	0:35	0:40	35.000	40.000	5.000	Janos			18.2.18 (So) 9:01		
FeFyC_iPhSE_0026.jpg		no	0:40	0:45	40.000	45.000	5.000	Janos			18.2.18 (So) 9:01		
FeFyO_iPhSE_0025.jpg		no	0:45	0:50	45.000	50.000	5.000	Janos			18.2.18 (So) 9:01		
FeFyR_iPhSE_0028.jpg		no	0:50	0:55	50.000	55.000	5.000	Janos			18.2.18 (So) 9:01		
