###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IlCl_iPhSE_0968.jpg		no	0:00	0:05	0.000	5.000	5.000	Inka und Conny			16.1.19 (Mi) 17:32		
IlCt_iPhSE_0971.jpg		no	0:05	0:10	5.000	10.000	5.000	Inka und Conny			16.1.19 (Mi) 17:32		
IlDc_iPhSE_0975.jpg		no	0:10	0:15	10.000	15.000	5.000	Inka und Conny			16.1.19 (Mi) 17:32		
IlDh_iPhSE_0976.jpg		no	0:15	0:20	15.000	20.000	5.000	Inka und Conny			16.1.19 (Mi) 17:32		
IlEg_iPhSE_0982.jpg		no	0:20	0:25	20.000	25.000	5.000	Inka und Conny			16.1.19 (Mi) 17:32		
IlEv_iPhSE_0983.jpg		no	0:25	0:30	25.000	30.000	5.000	Inka und Conny			16.1.19 (Mi) 17:33		
IlEz_iPhSE_0984.jpg		no	0:30	0:35	30.000	35.000	5.000	Inka und Conny			16.1.19 (Mi) 17:33		
WnPi_iPhSE_0990.jpg		no	0:35	0:40	35.000	40.000	5.000	Inka und Conny			19.1.19 (Sa) 14:21		
WnPn_iPhSE_0992.jpg		no	0:40	0:45	40.000	45.000	5.000	Inka und Conny			19.1.19 (Sa) 14:21		
WnPs_iPhSE_0901.jpg		no	0:45	0:50	45.000	50.000	5.000	Inka und Conny			19.1.19 (Sa) 14:21		
WnPv_iPhSE_0994.jpg		no	0:50	0:55	50.000	55.000	5.000	Inka und Conny			19.1.19 (Sa) 14:21		
WnRw_iPhSE_0996.jpg		no	0:55	1:00	55.000	60.000	5.000	Inka und Conny			19.1.19 (Sa) 14:22		
WnSg_iPhSE_0902.jpg		no	1:00	1:05	60.000	65.000	5.000	Inka und Conny			19.1.19 (Sa) 14:22		
WnSp_iPhSE_0999.jpg		no	1:05	1:10	65.000	70.000	5.000	Inka und Conny			19.1.19 (Sa) 14:22		
WnSq_iPhSE_1001.jpg		no	1:10	1:15	70.000	75.000	5.000	Inka und Conny			19.1.19 (Sa) 14:22		
WnSu_iPhSE_1003.jpg		no	1:15	1:20	75.000	80.000	5.000	Inka und Conny			19.1.19 (Sa) 14:22		
WnSw_iPhSE_0903.jpg		no	1:20	1:25	80.000	85.000	5.000	Inka und Conny			19.1.19 (Sa) 14:22		
WqMj_iPhSE_0904.jpg		no	1:25	1:30	85.000	90.000	5.000	Inka und Conny			19.1.19 (Sa) 14:53		
