###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
2020-10-27_14-38-34.jpg		no	0:00	0:05	0.000	5.000	5.000	Janos Gassirunden			27.10.20 (Di) 14:38		
2020-10-27_14-38-36.jpg		no	0:05	0:10	5.000	10.000	5.000	Janos Gassirunden			27.10.20 (Di) 14:38		
2020-10-27_14-40-20.jpg		no	0:10	0:15	10.000	15.000	5.000	Janos Gassirunden			27.10.20 (Di) 14:40		
2020-10-31_10-35-44.jpg		no	0:15	0:20	15.000	20.000	5.000	Janos Gassirunden			31.10.20 (Sa) 10:35		
2020-11-02_14-33-56.jpg		no	0:20	0:25	20.000	25.000	5.000	Janos Gassirunden			2.11.20 (Mo) 14:33		
2020-11-06_10-18-57.jpg		no	0:25	0:30	25.000	30.000	5.000	Janos Gassirunden			6.11.20 (Fr) 10:18		
2020-11-06_10-19-02.jpg		no	0:30	0:35	30.000	35.000	5.000	Janos Gassirunden			6.11.20 (Fr) 10:19		
2020-11-06_10-19-06.jpg		no	0:35	0:40	35.000	40.000	5.000	Janos Gassirunden			6.11.20 (Fr) 10:19		
2020-11-06_10-19-17.jpg		no	0:40	0:45	40.000	45.000	5.000	Janos Gassirunden			6.11.20 (Fr) 10:19		
2020-11-06_10-19-39.jpg		no	0:45	0:50	45.000	50.000	5.000	Janos Gassirunden			6.11.20 (Fr) 10:19		
2020-11-06_10-20-26.jpg		no	0:50	0:55	50.000	55.000	5.000	Janos Gassirunden			6.11.20 (Fr) 10:20		
2020-11-06_10-22-42.jpg		no	0:55	1:00	55.000	60.000	5.000	Janos Gassirunden			6.11.20 (Fr) 10:22		
