###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
FiDuGr_iPhSE_2553.jpg		no	0:00	0:05	0.000	5.000	5.000	Inka und Conny			8.1.20 (Mi) 17:33		
FiDuLg_iPhSE_2549.jpg		no	0:05	0:10	5.000	10.000	5.000	Inka und Conny			8.1.20 (Mi) 17:35		
GqEjUh_iPhSE_6086.jpg		no	0:10	0:15	10.000	15.000	5.000	Inka und Conny			2.7.20 (Do) 17:21		
GqEjVa_iPhSE_6087.jpg		no	0:15	0:20	15.000	20.000	5.000	Inka und Conny			2.7.20 (Do) 17:21		
GqEkAf_iPhSE_6089.jpg		no	0:20	0:25	20.000	25.000	5.000	Inka und Conny			2.7.20 (Do) 17:23		
GqEkAl_iPhSE_6090.jpg		no	0:25	0:30	25.000	30.000	5.000	Inka und Conny			2.7.20 (Do) 17:23		
GqEsNr_iPhSE_6091.jpg		no	0:30	0:35	30.000	35.000	5.000	Inka und Conny			2.7.20 (Do) 18:59		
GqEsQi_iPhSE_6093.jpg		no	0:35	0:40	35.000	40.000	5.000	Inka und Conny			2.7.20 (Do) 19:00		
GqEuMt_iPhSE_6095.jpg		no	0:40	0:45	40.000	45.000	5.000	Inka und Conny			2.7.20 (Do) 19:21		
GqEuNa_iPhSE_6096.jpg		no	0:45	0:50	45.000	50.000	5.000	Inka und Conny			2.7.20 (Do) 19:21		
GqRqHq_iPhSE_2752.jpg		no	0:50	0:55	50.000	55.000	5.000	Inka und Conny			5.7.20 (So) 10:02		
GqRqOz_iPhSE_6103.jpg		no	0:55	1:00	55.000	60.000	5.000	Inka und Conny			5.7.20 (So) 10:05		
GqRqSr_iPhSE_6106.jpg		no	1:00	1:05	60.000	65.000	5.000	Inka und Conny			5.7.20 (So) 10:07		
GqRqSv_iPhSE_6107.jpg		no	1:05	1:10	65.000	70.000	5.000	Inka und Conny			5.7.20 (So) 10:07		
GqRqTd_iPhSE_6109.jpg		no	1:10	1:15	70.000	75.000	5.000	Inka und Conny			5.7.20 (So) 10:07		
GqRqUe_iPhSE_6111.jpg		no	1:15	1:20	75.000	80.000	5.000	Inka und Conny			5.7.20 (So) 10:08		
