###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
2015-04-23-11-33-54.jpg		no	0:00	0:05	0.000	5.000	5.000						
2015-04-23-11-35-54.jpg		no	0:05	0:10	5.000	10.000	5.000						
2015-04-23-21-33-54.jpg		no	0:10	0:15	10.000	15.000	5.000						
2015-05-26-11-31-52.jpg		no	0:15	0:20	15.000	20.000	5.000						
2015-05-26-11-32-48.jpg		no	0:20	0:25	20.000	25.000	5.000						
2015-05-26-18-46-58.jpg		no	0:25	0:30	25.000	30.000	5.000						
2015-05-29-15-51-02.jpg		no	0:30	0:35	30.000	35.000	5.000				29.5.15 (Fr) 15:51		
2015-09-20-19-45-38.jpg		no	0:35	0:40	35.000	40.000	5.000	Gemütlicher Abend an der Kollnbergmühle bei Fürstenstein (Passau)	Landkreis Deggendorf	Plattling			
2015-09-20-20-22-49.jpg		no	0:40	0:45	40.000	45.000	5.000	Gemütlicher Abend an der Kollnbergmühle bei Fürstenstein (Passau)	Landkreis Deggendorf	Plattling			
2015-09-22-09-27-10.jpg		no	0:45	0:50	45.000	50.000	5.000	Gemütlicher Morgen an der Kollnbergmühle bei Fürstenstein (Passau)	Landkreis Passau	Fürstenstein			
2015-09-30-11-14-50.jpg		no	0:50	0:55	50.000	55.000	5.000	Spaziergang am Neckar in der Nähe von Bad Wimpfen	Bad Wimpfen	Heinsheim			
2015-10-26-14-54-07.jpg		no	0:55	1:00	55.000	60.000	5.000	Mittagspause im Luxemburger Land	Park Hosingen	Holzthum			
2016-04-02-12-37-37.jpg		no	1:00	1:05	60.000	65.000	5.000						
2016-05-10-21-00-48.jpg		no	1:05	1:10	65.000	70.000	5.000	Abendspaziergang am Hülltofter Tief beim Nolde-Museum in Seebüll	Niebüll	Seebüll			
2016-05-23-16-29-11.jpg		no	1:10	1:15	70.000	75.000	5.000	Am Kinda-Kanal in Südschweden	Linköping	Hamra			
2016-05-30-07-11-05.jpg		no	1:15	1:20	75.000	80.000	5.000	Am Tolken-See in Südwestschweden	Tolken-See	Kammarholmen			
2016-08-27-12-53-28.jpg		no	1:20	1:25	80.000	85.000	5.000				27.8.16 (Sa) 12:53		
2016-12-01-15-36-43.jpg		no	1:25	1:30	85.000	90.000	5.000				1.12.16 (Do) 15:36		
2017-04-24-07-32-44.jpg		no	1:30	1:35	90.000	95.000	5.000	Morgenspaziergang an der Donau nahe Matting bei Regensburg	Pentling	Matting			
2017-05-06-09-15-06.jpg		no	1:35	1:40	95.000	100.000	5.000	Janos an Schloss Ellwangen	Ostalbkreis	Ellwangen			
2017-05-13-10-23-55.jpg		no	1:40	1:45	100.000	105.000	5.000	Im Friedwald Elm bei Königslutter	Helmstedt	Königslutter			
2017-11-04-08-54-47.jpg		no	1:45	1:50	105.000	110.000	5.000	Mülhauseen	Petit-Landau				
2017-11-04-08-55-36-1.jpg		no	1:50	1:55	110.000	115.000	5.000	Morgenspaziergang am Rhein-Rhone-Kanal nahe Petit-Landau (östlich Mühlhausen)	Mülhausen	Petit-Landau			
2017-12-29-14-51-31.jpg		no	1:55	2:00	115.000	120.000	5.000						
