###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_4609.jpg		no	0:00	0:05	0.000	5.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4608.jpg		no	0:05	0:10	5.000	10.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4609.jpg		no	0:10	0:15	10.000	15.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4610.jpg		no	0:15	0:20	15.000	20.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4611.jpg		no	0:20	0:25	20.000	25.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4612.jpg		no	0:25	0:30	25.000	30.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4613.jpg		no	0:30	0:35	30.000	35.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4614.jpg		no	0:35	0:40	35.000	40.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4615.jpg		no	0:40	0:45	40.000	45.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4616.jpg		no	0:45	0:50	45.000	50.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4617.jpg		no	0:50	0:55	50.000	55.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4618.jpg		no	0:55	1:00	55.000	60.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4619.jpg		no	1:00	1:05	60.000	65.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4620.jpg		no	1:05	1:10	65.000	70.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4621.jpg		no	1:10	1:15	70.000	75.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4622.jpg		no	1:15	1:20	75.000	80.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4623.jpg		no	1:20	1:25	80.000	85.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4624.jpg		no	1:25	1:30	85.000	90.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4625.jpg		no	1:30	1:35	90.000	95.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4626.jpg		no	1:35	1:40	95.000	100.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4627.jpg		no	1:40	1:45	100.000	105.000	5.000	Esslingen			1.7.79 (So) 12:00		
IMG_4628.jpg		no	1:45	1:50	105.000	110.000	5.000	Esslingen			1.7.79 (So) 12:00		
