###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
Nikon_E5000_0101.jpg		no	0:00	0:05	0.000	5.000	5.000	Weihnachten			5.1.04 (Mo) 20:40		
Nikon_E5000_0102.jpg		no	0:05	0:10	5.000	10.000	5.000	Weihnachten			5.1.04 (Mo) 20:41		
Nikon_E5000_0105.jpg		no	0:10	0:15	10.000	15.000	5.000	Weihnachten			5.1.04 (Mo) 20:42		
Nikon_E5000_0106.jpg		no	0:15	0:20	15.000	20.000	5.000	Weihnachten			5.1.04 (Mo) 20:42		
Nikon_E5000_0108.jpg		no	0:20	0:25	20.000	25.000	5.000	Weihnachten			5.1.04 (Mo) 20:43		
Nikon_E5000_0109.jpg		no	0:25	0:30	25.000	30.000	5.000	Weihnachten			5.1.04 (Mo) 20:43		
Nikon_E5000_0114.jpg		no	0:30	0:35	30.000	35.000	5.000	Weihnachten			5.1.04 (Mo) 20:53		
Nikon_E5000_0121.jpg		no	0:35	0:40	35.000	40.000	5.000	Weihnachten			6.1.04 (Di) 8:56		
Nikon_E5000_0129.jpg		no	0:40	0:45	40.000	45.000	5.000	Weihnachten			6.1.04 (Di) 9:00		
Nikon_E5000_0130.jpg		no	0:45	0:50	45.000	50.000	5.000	Weihnachten			6.1.04 (Di) 9:00		
Nikon_E5000_0131.jpg		no	0:50	0:55	50.000	55.000	5.000	Weihnachten			6.1.04 (Di) 9:00		
