###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
NzKwQu_Nikon_0010.jpg		no	0:00	0:05	0.000	5.000	5.000			2004:01:01 09:18:04			
NzKxGj_Nikon_0013.jpg		no	0:05	0:10	5.000	10.000	5.000			2004:01:01 09:24:49			
NzKxIt_Nikon_0014.jpg		no	0:10	0:15	10.000	15.000	5.000			2004:01:01 09:25:51			
OaJiNp_Nikon_0001.jpg		no	0:15	0:20	15.000	20.000	5.000			2004:01:06 08:42:17			
OaJiOi_Nikon_0002.jpg		no	0:20	0:25	20.000	25.000	5.000			2004:01:06 08:42:36			
OaJjBd_Nikon_0003.jpg		no	0:25	0:30	25.000	30.000	5.000			2004:01:06 08:48:09			
OaJjBw_Nikon_0004.jpg		no	0:30	0:35	30.000	35.000	5.000			2004:01:06 08:48:28			
OaJjCg_Nikon_0005.jpg		no	0:35	0:40	35.000	40.000	5.000			2004:01:06 08:48:38			
OfCkXs_Nikon_0050.jpg		no	0:40	0:45	40.000	45.000	5.000			2004:01:31 09:40:00			
OfClBj_Nikon_0006.jpg		no	0:45	0:50	45.000	50.000	5.000			2004:01:31 09:41:35			
OfClCn_Nikon_0007.jpg		no	0:50	0:55	50.000	55.000	5.000			2004:01:31 09:42:05			
OfDdPh_Nikon_0008.jpg		no	0:55	1:00	55.000	60.000	5.000			2004:01:31 13:10:25			
