###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_FtInQ_Nikon_0021.jpg		no	0:00	0:05	0.000	5.000	5.000	Winter in Westheim			13.3.05 (So) 9:21		
FtHuQ_Nikon_0001.jpg		no	0:05	0:10	5.000	10.000	5.000	Winter in Westheim			13.3.05 (So) 9:13		
FtHvS_Nikon_0002.jpg		no	0:10	0:15	10.000	15.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHvS_Nikon_0333.jpg		no	0:15	0:20	15.000	20.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHvS_Nikon_0340.jpg		no	0:20	0:25	20.000	25.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHvS_Nikon_0342.jpg		no	0:25	0:30	25.000	30.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHvS_Nikon_0343.jpg		no	0:30	0:35	30.000	35.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHvS_Nikon_0344.jpg		no	0:35	0:40	35.000	40.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHvS_Nikon_0345.jpg		no	0:40	0:45	40.000	45.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHwM_Nikon_0003.jpg		no	0:45	0:50	45.000	50.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHxG_Nikon_0004.jpg		no	0:50	0:55	50.000	55.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHxV_Nikon_0005.jpg		no	0:55	1:00	55.000	60.000	5.000	Winter in Westheim			13.3.05 (So) 9:14		
FtHyN_Nikon_0006.jpg		no	1:00	1:05	60.000	65.000	5.000	Winter in Westheim			13.3.05 (So) 9:15		
FtHzF_Nikon_0007.jpg		no	1:05	1:10	65.000	70.000	5.000	Winter in Westheim			13.3.05 (So) 9:15		
FtHzT_Nikon_0008.jpg		no	1:10	1:15	70.000	75.000	5.000	Winter in Westheim			13.3.05 (So) 9:15		
FtIaG_Nikon_0009.jpg		no	1:15	1:20	75.000	80.000	5.000	Winter in Westheim			13.3.05 (So) 9:15		
FtIbD_Nikon_0010.jpg		no	1:20	1:25	80.000	85.000	5.000	Winter in Westheim			13.3.05 (So) 9:16		
FtIcX_Nikon_0011.jpg		no	1:25	1:30	85.000	90.000	5.000	Winter in Westheim			13.3.05 (So) 9:17		
FtIdY_Nikon_0012.jpg		no	1:30	1:35	90.000	95.000	5.000	Winter in Westheim			13.3.05 (So) 9:17		
FtIeN_Nikon_0013.jpg		no	1:35	1:40	95.000	100.000	5.000	Winter in Westheim			13.3.05 (So) 9:17		
FtIfG_Nikon_0014.jpg		no	1:40	1:45	100.000	105.000	5.000	Winter in Westheim			13.3.05 (So) 9:18		
FtIfR_Nikon_0015.jpg		no	1:45	1:50	105.000	110.000	5.000	Winter in Westheim			13.3.05 (So) 9:18		
FtIgN_Nikon_0016.jpg		no	1:50	1:55	110.000	115.000	5.000	Winter in Westheim			13.3.05 (So) 9:18		
FtIhL_Nikon_0017.jpg		no	1:55	2:00	115.000	120.000	5.000	Winter in Westheim			13.3.05 (So) 9:19		
FtIiJ_Nikon_0018.jpg		no	2:00	2:05	120.000	125.000	5.000	Winter in Westheim			13.3.05 (So) 9:19		
FtIjH_Nikon_0019.jpg		no	2:05	2:10	125.000	130.000	5.000	Winter in Westheim			13.3.05 (So) 9:19		
FtInE_Nikon_0020.jpg		no	2:10	2:15	130.000	135.000	5.000	Winter in Westheim			13.3.05 (So) 9:21		
FtInQ_Nikon_0021.jpg		no	2:15	2:20	135.000	140.000	5.000	Winter in Westheim			13.3.05 (So) 9:21		
FtIoJ_Nikon_0022.jpg		no	2:20	2:25	140.000	145.000	5.000	Winter in Westheim			13.3.05 (So) 9:22		
FtIpB_Nikon_0023.jpg		no	2:25	2:30	145.000	150.000	5.000	Winter in Westheim			13.3.05 (So) 9:22		
FtIpK_Nikon_0024.jpg		no	2:30	2:35	150.000	155.000	5.000	Winter in Westheim			13.3.05 (So) 9:22		
FtIqB_Nikon_0025.jpg		no	2:35	2:40	155.000	160.000	5.000	Winter in Westheim			13.3.05 (So) 9:22		
FtIsK_Nikon_0026.jpg		no	2:40	2:45	160.000	165.000	5.000	Winter in Westheim			13.3.05 (So) 9:23		
FtJbQ_Nikon_0027.jpg		no	2:45	2:50	165.000	170.000	5.000	Winter in Westheim			13.3.05 (So) 9:27		
FtJcH_Nikon_0028.jpg		no	2:50	2:55	170.000	175.000	5.000	Winter in Westheim			13.3.05 (So) 9:28		
FtJdB_Nikon_0029.jpg		no	2:55	3:00	175.000	180.000	5.000	Winter in Westheim			13.3.05 (So) 9:28		
FtJdW_Nikon_0030.jpg		no	3:00	3:05	180.000	185.000	5.000	Winter in Westheim			13.3.05 (So) 9:28		
LpMpO_E50_9970.jpg		no	3:05	3:10	185.000	190.000	5.000	Winter in Westheim			13.4.05 (Mi) 9:13		
