###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_SiB_Nikon_0377.jpg		no	0:00	0:05	0.000	5.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 10:14		
EdJ_Nikon_0362.jpg		no	0:05	0:10	5.000	10.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:34		
EeD_Nikon_0363.jpg		no	0:10	0:15	10.000	15.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:35		
EfM_Nikon_0364.jpg		no	0:15	0:20	15.000	20.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:35		
EgY_Nikon_0365.jpg		no	0:20	0:25	20.000	25.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:36		
EhO_Nikon_0366.jpg		no	0:25	0:30	25.000	30.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:36		
EiQ_Nikon_0367.jpg		no	0:30	0:35	30.000	35.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:37		
EiY_Nikon_0368.jpg		no	0:35	0:40	35.000	40.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:37		
EjL_Nikon_0369.jpg		no	0:40	0:45	40.000	45.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:37		
ElQ_Nikon_0370.jpg		no	0:45	0:50	45.000	50.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:38		
EnT_Nikon_0371.jpg		no	0:50	0:55	50.000	55.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:39		
EoA_Nikon_0372.jpg		no	0:55	1:00	55.000	60.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:39		
EwT_Nikon_0373.jpg		no	1:00	1:05	60.000	65.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 7:43		
HvT_Nikon_0374.jpg		no	1:05	1:10	65.000	70.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 8:16		
HwG_Nikon_0375.jpg		no	1:10	1:15	70.000	75.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 8:16		
IeD_Nikon_0376.jpg		no	1:15	1:20	75.000	80.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 8:20		
SiB_Nikon_0377.jpg		no	1:20	1:25	80.000	85.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 10:14		
SiO_Nikon_0378.jpg		no	1:25	1:30	85.000	90.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 10:14		
SkB_Nikon_0379.jpg		no	1:30	1:35	90.000	95.000	5.000	Rollerausflug ins Tirol			3.7.05 (So) 10:15		
