###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_DSC_0694.jpg		no	0:00	0:05	0.000	5.000	5.000	Herbsttag			10.9.06 (So) 9:22		
DSC_0682.jpg		no	0:05	0:10	5.000	10.000	5.000	Herbsttag			10.9.06 (So) 8:44		
DSC_0683.jpg		no	0:10	0:15	10.000	15.000	5.000	Herbsttag			10.9.06 (So) 8:45		
DSC_0686.jpg		no	0:15	0:20	15.000	20.000	5.000	Herbsttag			10.9.06 (So) 8:56		
DSC_0687.jpg		no	0:20	0:25	20.000	25.000	5.000	Herbsttag			10.9.06 (So) 9:02		
DSC_0690.jpg		no	0:25	0:30	25.000	30.000	5.000	Herbsttag			10.9.06 (So) 9:04		
DSC_0691.jpg		no	0:30	0:35	30.000	35.000	5.000	Herbsttag			10.9.06 (So) 9:04		
DSC_0694.jpg		no	0:35	0:40	35.000	40.000	5.000	Herbsttag			10.9.06 (So) 9:22		
DSC_0695.jpg		no	0:40	0:45	40.000	45.000	5.000	Herbsttag			10.9.06 (So) 9:28		
DSC_0696.jpg		no	0:45	0:50	45.000	50.000	5.000	Herbsttag			10.9.06 (So) 9:28		
DSC_0700.jpg		no	0:50	0:55	50.000	55.000	5.000	Herbsttag			10.9.06 (So) 9:32		
DSC_0701.jpg		no	0:55	1:00	55.000	60.000	5.000	Herbsttag			10.9.06 (So) 9:32		
DSC_0703.jpg		no	1:00	1:05	60.000	65.000	5.000	Herbsttag			10.9.06 (So) 9:34		
DSC_0704.jpg		no	1:05	1:10	65.000	70.000	5.000	Herbsttag			10.9.06 (So) 9:34		
DSC_0705.jpg		no	1:10	1:15	70.000	75.000	5.000	Herbsttag			10.9.06 (So) 9:35		
DSC_0706.jpg		no	1:15	1:20	75.000	80.000	5.000	Herbsttag			10.9.06 (So) 9:35		
DSC_0707.jpg		no	1:20	1:25	80.000	85.000	5.000	Herbsttag			10.9.06 (So) 9:35		
DSC_0715.jpg		no	1:25	1:30	85.000	90.000	5.000	Herbsttag			10.9.06 (So) 9:41		
DSC_0717.jpg		no	1:30	1:35	90.000	95.000	5.000	Herbsttag			10.9.06 (So) 9:44		
DSC_0718.jpg		no	1:35	1:40	95.000	100.000	5.000	Herbsttag			10.9.06 (So) 9:45		
DSC_0719.jpg		no	1:40	1:45	100.000	105.000	5.000	Herbsttag			10.9.06 (So) 9:45		
DSC_0720.jpg		no	1:45	1:50	105.000	110.000	5.000	Herbsttag			10.9.06 (So) 9:46		
DSC_0721.jpg		no	1:50	1:55	110.000	115.000	5.000	Herbsttag			10.9.06 (So) 9:46		
DSC_0722.jpg		no	1:55	2:00	115.000	120.000	5.000	Herbsttag			10.9.06 (So) 9:46		
DSC_0723.jpg		no	2:00	2:05	120.000	125.000	5.000	Herbsttag			10.9.06 (So) 9:46		
DSC_0727.jpg		no	2:05	2:10	125.000	130.000	5.000	Herbsttag			10.9.06 (So) 9:49		
DSC_0734.jpg		no	2:10	2:15	130.000	135.000	5.000	Herbsttag			10.9.06 (So) 9:53		
DSC_0736.jpg		no	2:15	2:20	135.000	140.000	5.000	Herbsttag			10.9.06 (So) 9:56		
DSC_0737.jpg		no	2:20	2:25	140.000	145.000	5.000	Herbsttag			10.9.06 (So) 9:56		
DSC_0738.jpg		no	2:25	2:30	145.000	150.000	5.000	Herbsttag			10.9.06 (So) 9:57		
DSC_0739.jpg		no	2:30	2:35	150.000	155.000	5.000	Herbsttag			10.9.06 (So) 9:58		
DSC_0740.jpg		no	2:35	2:40	155.000	160.000	5.000	Herbsttag			10.9.06 (So) 9:58		
DSC_0743.jpg		no	2:40	2:45	160.000	165.000	5.000	Herbsttag			10.9.06 (So) 10:00		
DSC_0745.jpg		no	2:45	2:50	165.000	170.000	5.000	Herbsttag			10.9.06 (So) 10:04		
