###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_DSC_0868.jpg		no	0:00	0:05	0.000	5.000	5.000	St. Coloman			27.12.06 (Mi) 12:35		
DSC_0856.jpg		no	0:05	0:10	5.000	10.000	5.000	St. Coloman			27.12.06 (Mi) 12:31		
DSC_0857.jpg		no	0:10	0:15	10.000	15.000	5.000	St. Coloman			27.12.06 (Mi) 12:31		
DSC_0858.jpg		no	0:15	0:20	15.000	20.000	5.000	St. Coloman			27.12.06 (Mi) 12:32		
DSC_0859.jpg		no	0:20	0:25	20.000	25.000	5.000	St. Coloman			27.12.06 (Mi) 12:32		
DSC_0861.jpg		no	0:25	0:30	25.000	30.000	5.000	St. Coloman			27.12.06 (Mi) 12:33		
DSC_0862.jpg		no	0:30	0:35	30.000	35.000	5.000	St. Coloman			27.12.06 (Mi) 12:33		
DSC_0864.jpg		no	0:35	0:40	35.000	40.000	5.000	St. Coloman			27.12.06 (Mi) 12:34		
DSC_0865.jpg		no	0:40	0:45	40.000	45.000	5.000	St. Coloman			27.12.06 (Mi) 12:34		
DSC_0866.jpg		no	0:45	0:50	45.000	50.000	5.000	St. Coloman			27.12.06 (Mi) 12:35		
DSC_0867.jpg		no	0:50	0:55	50.000	55.000	5.000	St. Coloman			27.12.06 (Mi) 12:35		
DSC_0868.jpg		no	0:55	1:00	55.000	60.000	5.000	St. Coloman			27.12.06 (Mi) 12:35		
DSC_0869.jpg		no	1:00	1:05	60.000	65.000	5.000	St. Coloman			27.12.06 (Mi) 12:37		
DSC_0870.jpg		no	1:05	1:10	65.000	70.000	5.000	St. Coloman			27.12.06 (Mi) 12:38		
