###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_1466.jpg		no	0:00	0:05	0.000	5.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:00		
IMG_1467.jpg		no	0:05	0:10	5.000	10.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:01		
IMG_1468.jpg		no	0:10	0:15	10.000	15.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:01		
IMG_1469.jpg		no	0:15	0:20	15.000	20.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:02		
IMG_1470.jpg		no	0:20	0:25	20.000	25.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:04		
IMG_1471.jpg		no	0:25	0:30	25.000	30.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:05		
IMG_1473.jpg		no	0:30	0:35	30.000	35.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:06		
IMG_1478.jpg		no	0:35	0:40	35.000	40.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:08		
IMG_1480.jpg		no	0:40	0:45	40.000	45.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:09		
IMG_1481.jpg		no	0:45	0:50	45.000	50.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:09		
IMG_1482.jpg		no	0:50	0:55	50.000	55.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:12		
IMG_1483.jpg		no	0:55	1:00	55.000	60.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:13		
IMG_1484.jpg		no	1:00	1:05	60.000	65.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:14		
IMG_1485.jpg		no	1:05	1:10	65.000	70.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:14		
IMG_1486.jpg		no	1:10	1:15	70.000	75.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:16		
IMG_1487.jpg		no	1:15	1:20	75.000	80.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:16		
IMG_1488.jpg		no	1:20	1:25	80.000	85.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:16		
IMG_1490.jpg		no	1:25	1:30	85.000	90.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:17		
IMG_1493.jpg		no	1:30	1:35	90.000	95.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:20		
IMG_1494.jpg		no	1:35	1:40	95.000	100.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:20		
IMG_1502.jpg		no	1:40	1:45	100.000	105.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:22		
IMG_1503.jpg		no	1:45	1:50	105.000	110.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:22		
IMG_1504.jpg		no	1:50	1:55	110.000	115.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:24		
IMG_1505.jpg		no	1:55	2:00	115.000	120.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:24		
IMG_1506.jpg		no	2:00	2:05	120.000	125.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:24		
IMG_1507.jpg		no	2:05	2:10	125.000	130.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:25		
IMG_1508.jpg		no	2:10	2:15	130.000	135.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:25		
IMG_1509.jpg		no	2:15	2:20	135.000	140.000	5.000	Rain am Lech im Frühling			27.4.08 (So) 11:26		
