###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_1936.jpg		no	0:00	0:05	0.000	5.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:13		
IMG_1941.jpg		no	0:05	0:10	5.000	10.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:15		
IMG_1942.jpg		no	0:10	0:15	10.000	15.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:15		
IMG_1943.jpg		no	0:15	0:20	15.000	20.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:15		
IMG_1945.jpg		no	0:20	0:25	20.000	25.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:15		
IMG_1946.jpg		no	0:25	0:30	25.000	30.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:39		
IMG_1951.jpg		no	0:30	0:35	30.000	35.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:42		
IMG_1956.jpg		no	0:35	0:40	35.000	40.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:44		
IMG_1966.jpg		no	0:40	0:45	40.000	45.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:49		
IMG_1967.jpg		no	0:45	0:50	45.000	50.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:50		
IMG_1986.jpg		no	0:50	0:55	50.000	55.000	5.000	Sonntagsfrühstück bei Schempach			29.6.08 (So) 7:58		
