###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_3833.jpg		no	0:00	0:05	0.000	5.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:19		
IMG_3834.jpg		no	0:05	0:10	5.000	10.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:19		
IMG_3835.jpg		no	0:10	0:15	10.000	15.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:19		
IMG_3836.jpg		no	0:15	0:20	15.000	20.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:20		
IMG_3837.jpg		no	0:20	0:25	20.000	25.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:22		
IMG_3839.jpg		no	0:25	0:30	25.000	30.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:23		
IMG_3840.jpg		no	0:30	0:35	30.000	35.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:30		
IMG_3841.jpg		no	0:35	0:40	35.000	40.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:30		
IMG_3842.jpg		no	0:40	0:45	40.000	45.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:31		
IMG_3843.jpg		no	0:45	0:50	45.000	50.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:31		
IMG_3847.jpg		no	0:50	0:55	50.000	55.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:32		
IMG_3848.jpg		no	0:55	1:00	55.000	60.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:33		
IMG_3849.jpg		no	1:00	1:05	60.000	65.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:33		
IMG_3850.jpg		no	1:05	1:10	65.000	70.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:34		
IMG_3851.jpg		no	1:10	1:15	70.000	75.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:40		
IMG_3853.jpg		no	1:15	1:20	75.000	80.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:43		
IMG_3854.jpg		no	1:20	1:25	80.000	85.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:43		
IMG_3856.jpg		no	1:25	1:30	85.000	90.000	5.000	Schongau und Ländle			29.9.09 (Di) 11:45		
IMG_3887.jpg		no	1:30	1:35	90.000	95.000	5.000	Schongau und Ländle			29.9.09 (Di) 18:19		
IMG_3888.jpg		no	1:35	1:40	95.000	100.000	5.000	Schongau und Ländle			29.9.09 (Di) 18:20		
IMG_3889.jpg		no	1:40	1:45	100.000	105.000	5.000	Schongau und Ländle			29.9.09 (Di) 18:24		
IMG_3890.jpg		no	1:45	1:50	105.000	110.000	5.000	Schongau und Ländle			29.9.09 (Di) 18:24		
IMG_3892.jpg		no	1:50	1:55	110.000	115.000	5.000	Schongau und Ländle			29.9.09 (Di) 18:25		
IMG_3893.jpg		no	1:55	2:00	115.000	120.000	5.000	Schongau und Ländle			29.9.09 (Di) 18:25		
IMG_3894.jpg		no	2:00	2:05	120.000	125.000	5.000	Schongau und Ländle			29.9.09 (Di) 18:25		
IMG_3897.jpg		no	2:05	2:10	125.000	130.000	5.000	Schongau und Ländle			29.9.09 (Di) 18:26		
