###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_5088.jpg		no	0:00	0:05	0.000	5.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 15:06		
IMG_5087.jpg		no	0:05	0:10	5.000	10.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 14:58		
IMG_5088.jpg		no	0:10	0:15	10.000	15.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 15:06		
IMG_5089.jpg		no	0:15	0:20	15.000	20.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 15:07		
IMG_5090.jpg		no	0:20	0:25	20.000	25.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 15:07		
IMG_5091.jpg		no	0:25	0:30	25.000	30.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 15:08		
IMG_5092.jpg		no	0:30	0:35	30.000	35.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 15:09		
IMG_5093.jpg		no	0:35	0:40	35.000	40.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 15:09		
IMG_5094.jpg		no	0:40	0:45	40.000	45.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 15:13		
IMG_5095.jpg		no	0:45	0:50	45.000	50.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 15:22		
IMG_5096.jpg		no	0:50	0:55	50.000	55.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:38		
IMG_5097.jpg		no	0:55	1:00	55.000	60.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:39		
IMG_5098.jpg		no	1:00	1:05	60.000	65.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:39		
IMG_5099.jpg		no	1:05	1:10	65.000	70.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:39		
IMG_5100.jpg		no	1:10	1:15	70.000	75.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:39		
IMG_5101.jpg		no	1:15	1:20	75.000	80.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:55		
IMG_5102.jpg		no	1:20	1:25	80.000	85.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:55		
IMG_5103.jpg		no	1:25	1:30	85.000	90.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:56		
IMG_5104.jpg		no	1:30	1:35	90.000	95.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:57		
IMG_5105.jpg		no	1:35	1:40	95.000	100.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 16:57		
IMG_5106.jpg		no	1:40	1:45	100.000	105.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 17:04		
IMG_5107.jpg		no	1:45	1:50	105.000	110.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 17:04		
IMG_5108.jpg		no	1:50	1:55	110.000	115.000	5.000	Tagesausflug 30. Hochzeitstag			4.10.10 (Mo) 17:05		
