###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_5576.jpg		no	0:00	0:05	0.000	5.000	5.000	Winterzauber			18.12.10 (Sa) 16:34		
IMG_5568.jpg		no	0:05	0:10	5.000	10.000	5.000	Winterzauber			18.12.10 (Sa) 16:31		
IMG_5569.jpg		no	0:10	0:15	10.000	15.000	5.000	Winterzauber			18.12.10 (Sa) 16:32		
IMG_5571.jpg		no	0:15	0:20	15.000	20.000	5.000	Winterzauber			18.12.10 (Sa) 16:32		
IMG_5572.jpg		no	0:20	0:25	20.000	25.000	5.000	Winterzauber			18.12.10 (Sa) 16:33		
IMG_5574.jpg		no	0:25	0:30	25.000	30.000	5.000	Winterzauber			18.12.10 (Sa) 16:34		
IMG_5575.jpg		no	0:30	0:35	30.000	35.000	5.000	Winterzauber			18.12.10 (Sa) 16:34		
IMG_5576.jpg		no	0:35	0:40	35.000	40.000	5.000	Winterzauber			18.12.10 (Sa) 16:34		
IMG_5579.jpg		no	0:40	0:45	40.000	45.000	5.000	Winterzauber			18.12.10 (Sa) 16:36		
IMG_5585.jpg		no	0:45	0:50	45.000	50.000	5.000	Winterzauber			18.12.10 (Sa) 16:37		
IMG_5589.jpg		no	0:50	0:55	50.000	55.000	5.000	Winterzauber			18.12.10 (Sa) 16:38		
IMG_5590.jpg		no	0:55	1:00	55.000	60.000	5.000	Winterzauber			18.12.10 (Sa) 16:39		
IMG_5591.jpg		no	1:00	1:05	60.000	65.000	5.000	Winterzauber			18.12.10 (Sa) 16:39		
IMG_5592.jpg		no	1:05	1:10	65.000	70.000	5.000	Winterzauber			18.12.10 (Sa) 16:39		
IMG_5593.jpg		no	1:10	1:15	70.000	75.000	5.000	Winterzauber			18.12.10 (Sa) 16:39		
