###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_5915.jpg		no	0:00	0:05	0.000	5.000	5.000	Tagesausflug Wien	Wien	Hietzing	22.4.11 (Fr) 17:21		
IMG_5790.jpg		no	0:05	0:10	5.000	10.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:12		
IMG_5791.jpg		no	0:10	0:15	10.000	15.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:12		
IMG_5795.jpg		no	0:15	0:20	15.000	20.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:14		
IMG_5798.jpg		no	0:20	0:25	20.000	25.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:16		
IMG_5801.jpg		no	0:25	0:30	25.000	30.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:20		
IMG_5802.jpg		no	0:30	0:35	30.000	35.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:22		
IMG_5803.jpg		no	0:35	0:40	35.000	40.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:22		
IMG_5805.jpg		no	0:40	0:45	40.000	45.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:35		
IMG_5806.jpg		no	0:45	0:50	45.000	50.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:35		
IMG_5807.jpg		no	0:50	0:55	50.000	55.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:35		
IMG_5810.jpg		no	0:55	1:00	55.000	60.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:37		
IMG_5811.jpg		no	1:00	1:05	60.000	65.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:37		
IMG_5814.jpg		no	1:05	1:10	65.000	70.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:42		
IMG_5818.jpg		no	1:10	1:15	70.000	75.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:43		
IMG_5824.jpg		no	1:15	1:20	75.000	80.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:47		
IMG_5828.jpg		no	1:20	1:25	80.000	85.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:50		
IMG_5832.jpg		no	1:25	1:30	85.000	90.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 12:51		
IMG_5835.jpg		no	1:30	1:35	90.000	95.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 13:02		
IMG_5836.jpg		no	1:35	1:40	95.000	100.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 13:03		
IMG_5837.jpg		no	1:40	1:45	100.000	105.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 13:04		
IMG_5838.jpg		no	1:45	1:50	105.000	110.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 13:05		
IMG_5840.jpg		no	1:50	1:55	110.000	115.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 13:06		
IMG_5842.jpg		no	1:55	2:00	115.000	120.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 13:06		
IMG_5843.jpg		no	2:00	2:05	120.000	125.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 13:07		
IMG_5847.jpg		no	2:05	2:10	125.000	130.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 13:19		
IMG_5849.jpg		no	2:10	2:15	130.000	135.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 13:21		
IMG_5851.jpg		no	2:15	2:20	135.000	140.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 14:23		
IMG_5852.jpg		no	2:20	2:25	140.000	145.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 14:23		
IMG_5853.jpg		no	2:25	2:30	145.000	150.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 14:24		
IMG_5857.jpg		no	2:30	2:35	150.000	155.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 14:31		
IMG_5860.jpg		no	2:35	2:40	155.000	160.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 14:35		
IMG_5861.jpg		no	2:40	2:45	160.000	165.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 14:38		
IMG_5864.jpg		no	2:45	2:50	165.000	170.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 14:46		
IMG_5867.jpg		no	2:50	2:55	170.000	175.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 14:48		
IMG_5869.jpg		no	2:55	3:00	175.000	180.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 14:51		
IMG_5871.jpg		no	3:00	3:05	180.000	185.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 14:53		
IMG_5873.jpg		no	3:05	3:10	185.000	190.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 15:02		
IMG_5875.jpg		no	3:10	3:15	190.000	195.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 15:06		
IMG_5876.jpg		no	3:15	3:20	195.000	200.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 15:06		
IMG_5880.jpg		no	3:20	3:25	200.000	205.000	5.000	Tagesausflug Wien	Wien	Innere Stadt	22.4.11 (Fr) 15:13		
IMG_5884.jpg		no	3:25	3:30	205.000	210.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 15:41		
IMG_5885.jpg		no	3:30	3:35	210.000	215.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 15:41		
IMG_5887.jpg		no	3:35	3:40	215.000	220.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 15:45		
IMG_5889.jpg		no	3:40	3:45	220.000	225.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 15:46		
IMG_5890.jpg		no	3:45	3:50	225.000	230.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 15:52		
IMG_5891.jpg		no	3:50	3:55	230.000	235.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 15:58		
IMG_5892.jpg		no	3:55	4:00	235.000	240.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 15:58		
IMG_5893.jpg		no	4:00	4:05	240.000	245.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 15:59		
IMG_5895.jpg		no	4:05	4:10	245.000	250.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 16:01		
IMG_5897.jpg		no	4:10	4:15	250.000	255.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 16:19		
IMG_5898.jpg		no	4:15	4:20	255.000	260.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 16:19		
IMG_5899.jpg		no	4:20	4:25	260.000	265.000	5.000	Tagesausflug Wien	Wien		22.4.11 (Fr) 16:20		
IMG_5902.jpg		no	4:25	4:30	265.000	270.000	5.000	Tagesausflug Wien	Wien	Hietzing	22.4.11 (Fr) 17:02		
