###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_7038.jpg		no	0:00	0:05	0.000	5.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 11:49		
IMG_7035.jpg		no	0:05	0:10	5.000	10.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 11:45		
IMG_7036.jpg		no	0:10	0:15	10.000	15.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 11:45		
IMG_7038.jpg		no	0:15	0:20	15.000	20.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 11:49		
IMG_7039.jpg		no	0:20	0:25	20.000	25.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 11:52		
IMG_7041.jpg		no	0:25	0:30	25.000	30.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 11:55		
IMG_7043.jpg		no	0:30	0:35	30.000	35.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 11:57		
IMG_7044.jpg		no	0:35	0:40	35.000	40.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 15:41		
IMG_7045.jpg		no	0:40	0:45	40.000	45.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 15:42		
IMG_7046.jpg		no	0:45	0:50	45.000	50.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 15:43		
IMG_7047.jpg		no	0:50	0:55	50.000	55.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 15:47		
IMG_7053.jpg		no	0:55	1:00	55.000	60.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 15:54		
IMG_7054.jpg		no	1:00	1:05	60.000	65.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 15:55		
IMG_7055.jpg		no	1:05	1:10	65.000	70.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 15:59		
IMG_7057.jpg		no	1:10	1:15	70.000	75.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:06		
IMG_7061.jpg		no	1:15	1:20	75.000	80.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:22		
IMG_7063.jpg		no	1:20	1:25	80.000	85.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:23		
IMG_7064.jpg		no	1:25	1:30	85.000	90.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:24		
IMG_7065.jpg		no	1:30	1:35	90.000	95.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:25		
IMG_7066.jpg		no	1:35	1:40	95.000	100.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:26		
IMG_7067.jpg		no	1:40	1:45	100.000	105.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:26		
IMG_7070.jpg		no	1:45	1:50	105.000	110.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:27		
IMG_7071.jpg		no	1:50	1:55	110.000	115.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:34		
IMG_7072.jpg		no	1:55	2:00	115.000	120.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:35		
IMG_7073.jpg		no	2:00	2:05	120.000	125.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:35		
IMG_7075.jpg		no	2:05	2:10	125.000	130.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:37		
IMG_7076.jpg		no	2:10	2:15	130.000	135.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:37		
IMG_7078.jpg		no	2:15	2:20	135.000	140.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:38		
IMG_7079.jpg		no	2:20	2:25	140.000	145.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:38		
IMG_7081.jpg		no	2:25	2:30	145.000	150.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:40		
IMG_7083.jpg		no	2:30	2:35	150.000	155.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:44		
IMG_7084.jpg		no	2:35	2:40	155.000	160.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:45		
IMG_7085.jpg		no	2:40	2:45	160.000	165.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:46		
IMG_7087.jpg		no	2:45	2:50	165.000	170.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 16:59		
IMG_7089.jpg		no	2:50	2:55	170.000	175.000	5.000	Tagesausflug Basel 2012			6.4.12 (Fr) 17:02		
