###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_0120.jpg		no	0:00	0:05	0.000	5.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:13		
IMG_0103.jpg		no	0:05	0:10	5.000	10.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:07		
IMG_0104.jpg		no	0:10	0:15	10.000	15.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:07		
IMG_0107.jpg		no	0:15	0:20	15.000	20.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:08		
IMG_0109.jpg		no	0:20	0:25	20.000	25.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:08		
IMG_0110.jpg		no	0:25	0:30	25.000	30.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:09		
IMG_0111.jpg		no	0:30	0:35	30.000	35.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:09		
IMG_0115.jpg		no	0:35	0:40	35.000	40.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:10		
IMG_0116.jpg		no	0:40	0:45	40.000	45.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:11		
IMG_0120.jpg		no	0:45	0:50	45.000	50.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:13		
IMG_0122.jpg		no	0:50	0:55	50.000	55.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:13		
IMG_0124.jpg		no	0:55	1:00	55.000	60.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:14		
IMG_0125.jpg		no	1:00	1:05	60.000	65.000	5.000	Garten Sommer 2012			2.8.12 (Do) 10:14		
IMG_0131.jpg		no	1:05	1:10	65.000	70.000	5.000	Garten Sommer 2012			4.8.12 (Sa) 16:14		
IMG_0136.jpg		no	1:10	1:15	70.000	75.000	5.000	Garten Sommer 2012			4.8.12 (Sa) 16:17		
IMG_0137.jpg		no	1:15	1:20	75.000	80.000	5.000	Garten Sommer 2012			4.8.12 (Sa) 16:18		
IMG_0139.jpg		no	1:20	1:25	80.000	85.000	5.000	Garten Sommer 2012			4.8.12 (Sa) 16:18		
IMG_0144.jpg		no	1:25	1:30	85.000	90.000	5.000	Garten Sommer 2012			4.8.12 (Sa) 16:19		
IMG_0147.jpg		no	1:30	1:35	90.000	95.000	5.000	Garten Sommer 2012			4.8.12 (Sa) 16:19		
IMG_0154.jpg		no	1:35	1:40	95.000	100.000	5.000	Garten Sommer 2012			4.8.12 (Sa) 16:21		
IMG_0155.jpg		no	1:40	1:45	100.000	105.000	5.000	Garten Sommer 2012			4.8.12 (Sa) 16:21		
