###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_E400_01_2083.jpg		no	0:00	0:05	0.000	5.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:43		
E400_01_2046.jpg		no	0:05	0:10	5.000	10.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 7:26		
E400_01_2060.jpg		no	0:10	0:15	10.000	15.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:26		
E400_01_2061.jpg		no	0:15	0:20	15.000	20.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:26		
E400_01_2062.jpg		no	0:20	0:25	20.000	25.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:27		
E400_01_2065.jpg		no	0:25	0:30	25.000	30.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:29		
E400_01_2066.jpg		no	0:30	0:35	30.000	35.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:29		
E400_01_2067.jpg		no	0:35	0:40	35.000	40.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:29		
E400_01_2069.jpg		no	0:40	0:45	40.000	45.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:29		
E400_01_2070.jpg		no	0:45	0:50	45.000	50.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:29		
E400_01_2072.jpg		no	0:50	0:55	50.000	55.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:31		
E400_01_2077.jpg		no	0:55	1:00	55.000	60.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:34		
E400_01_2079.jpg		no	1:00	1:05	60.000	65.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:41		
E400_01_2080.jpg		no	1:05	1:10	65.000	70.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:41		
E400_01_2082.jpg		no	1:10	1:15	70.000	75.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:42		
E400_01_2083.jpg		no	1:15	1:20	75.000	80.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:43		
E400_01_2086.jpg		no	1:20	1:25	80.000	85.000	5.000	Rollerausflug Gabelbach			20.5.13 (Mo) 8:43		
