###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_E400_13_2198.jpg		no	0:00	0:05	0.000	5.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 16:00		
E400_13_2089.jpg		no	0:05	0:10	5.000	10.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:14		
E400_13_2092.jpg		no	0:10	0:15	10.000	15.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:14		
E400_13_2094.jpg		no	0:15	0:20	15.000	20.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:16		
E400_13_2098.jpg		no	0:20	0:25	20.000	25.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:21		
E400_13_2101.jpg		no	0:25	0:30	25.000	30.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:22		
E400_13_2108.jpg		no	0:30	0:35	30.000	35.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:23		
E400_13_2115.jpg		no	0:35	0:40	35.000	40.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:25		
E400_13_2120.jpg		no	0:40	0:45	40.000	45.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:25		
E400_13_2143.jpg		no	0:45	0:50	45.000	50.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:31		
E400_13_2147.jpg		no	0:50	0:55	50.000	55.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:32		
E400_13_2150.jpg		no	0:55	1:00	55.000	60.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:33		
E400_13_2152.jpg		no	1:00	1:05	60.000	65.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:33		
E400_13_2163.jpg		no	1:05	1:10	65.000	70.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:41		
E400_13_2164.jpg		no	1:10	1:15	70.000	75.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:42		
E400_13_2166.jpg		no	1:15	1:20	75.000	80.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:42		
E400_13_2168.jpg		no	1:20	1:25	80.000	85.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:42		
E400_13_2170.jpg		no	1:25	1:30	85.000	90.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:51		
E400_13_2184.jpg		no	1:30	1:35	90.000	95.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 15:57		
E400_13_2198.jpg		no	1:35	1:40	95.000	100.000	5.000	Syrgenstein/ Staufen (bei Heidenheim) 2013	Syrgenstein	Staufen	15.8.13 (Do) 16:00		
