###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_E400_13_2273.jpg		no	0:00	0:05	0.000	5.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Waldsee	Hymer-Museum	4.10.13 (Fr) 12:13		
E400_13_2253.jpg		no	0:05	0:10	5.000	10.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Waldsee	Hymer-Museum	4.10.13 (Fr) 11:50		
E400_13_2262.jpg		no	0:10	0:15	10.000	15.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Waldsee	Hymer-Museum	4.10.13 (Fr) 11:54		
E400_13_2268.jpg		no	0:15	0:20	15.000	20.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Waldsee	Hymer-Museum	4.10.13 (Fr) 12:01		
E400_13_2269.jpg		no	0:20	0:25	20.000	25.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Waldsee	Hymer-Museum	4.10.13 (Fr) 12:03		
E400_13_2273.jpg		no	0:25	0:30	25.000	30.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Waldsee	Hymer-Museum	4.10.13 (Fr) 12:13		
E400_13_2285.jpg		no	0:30	0:35	30.000	35.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Waldsee	Hymer-Museum	4.10.13 (Fr) 12:40		
E400_13_2311.jpg		no	0:35	0:40	35.000	40.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Waldsee	Hymer-Museum	4.10.13 (Fr) 12:43		
E400_13_2326.jpg		no	0:40	0:45	40.000	45.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Waldsee	Hymer-Museum	4.10.13 (Fr) 12:59		
E400_13_2341.jpg		no	0:45	0:50	45.000	50.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:08		
E400_13_2343.jpg		no	0:50	0:55	50.000	55.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:09		
E400_13_2357.jpg		no	0:55	1:00	55.000	60.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:12		
E400_13_2369.jpg		no	1:00	1:05	60.000	65.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:13		
E400_13_2378.jpg		no	1:05	1:10	65.000	70.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:16		
E400_13_2381.jpg		no	1:10	1:15	70.000	75.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:16		
E400_13_2382.jpg		no	1:15	1:20	75.000	80.000	5.000	Hymer-Museum Bad Waldsee 2013	Bad Wurzach	Oberhaslach	4.10.13 (Fr) 16:16		
