###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_E400_01_2723.jpg		no	0:00	0:05	0.000	5.000	5.000	Weihnachten 2013			22.12.13 (So) 18:09		
E400_01_2705.jpg		no	0:05	0:10	5.000	10.000	5.000	Weihnachten 2013			22.12.13 (So) 18:03		
E400_01_2710.jpg		no	0:10	0:15	10.000	15.000	5.000	Weihnachten 2013			22.12.13 (So) 18:05		
E400_01_2718.jpg		no	0:15	0:20	15.000	20.000	5.000	Weihnachten 2013			22.12.13 (So) 18:07		
E400_01_2722.jpg		no	0:20	0:25	20.000	25.000	5.000	Weihnachten 2013			22.12.13 (So) 18:09		
E400_01_2723.jpg		no	0:25	0:30	25.000	30.000	5.000	Weihnachten 2013			22.12.13 (So) 18:09		
E400_01_2724.jpg		no	0:30	0:35	30.000	35.000	5.000	Weihnachten 2013			22.12.13 (So) 18:09		
E400_01_2725.jpg		no	0:35	0:40	35.000	40.000	5.000	Weihnachten 2013			22.12.13 (So) 18:09		
E400_01_2726.jpg		no	0:40	0:45	40.000	45.000	5.000	Weihnachten 2013			22.12.13 (So) 18:10		
E400_01_2727.jpg		no	0:45	0:50	45.000	50.000	5.000	Weihnachten 2013			22.12.13 (So) 18:11		
E400_01_2731.jpg		no	0:50	0:55	50.000	55.000	5.000	Weihnachten 2013			22.12.13 (So) 18:12		
E400_01_2733.jpg		no	0:55	1:00	55.000	60.000	5.000	Weihnachten 2013			22.12.13 (So) 18:12		
E400_01_2736.jpg		no	1:00	1:05	60.000	65.000	5.000	Weihnachten 2013			22.12.13 (So) 18:13		
E400_01_2738.jpg		no	1:05	1:10	65.000	70.000	5.000	Weihnachten 2013			22.12.13 (So) 18:13		
E400_01_2739.jpg		no	1:10	1:15	70.000	75.000	5.000	Weihnachten 2013			22.12.13 (So) 18:13		
E400_01_2741.jpg		no	1:15	1:20	75.000	80.000	5.000	Weihnachten 2013			22.12.13 (So) 18:14		
E400_01_2742.jpg		no	1:20	1:25	80.000	85.000	5.000	Weihnachten 2013			22.12.13 (So) 18:14		
E400_01_2743.jpg		no	1:25	1:30	85.000	90.000	5.000	Weihnachten 2013			22.12.13 (So) 18:14		
E400_01_2751.jpg		no	1:30	1:35	90.000	95.000	5.000	Weihnachten 2013			22.12.13 (So) 18:16		
E400_01_2753.jpg		no	1:35	1:40	95.000	100.000	5.000	Weihnachten 2013			22.12.13 (So) 18:16		
E400_01_2754.jpg		no	1:40	1:45	100.000	105.000	5.000	Weihnachten 2013			22.12.13 (So) 18:17		
E400_01_2756.jpg		no	1:45	1:50	105.000	110.000	5.000	Weihnachten 2013			22.12.13 (So) 18:18		
E400_01_2757.jpg		no	1:50	1:55	110.000	115.000	5.000	Weihnachten 2013			22.12.13 (So) 18:18		
E400_01_2763.jpg		no	1:55	2:00	115.000	120.000	5.000	Weihnachten 2013			22.12.13 (So) 18:23		
E400_01_2766.jpg		no	2:00	2:05	120.000	125.000	5.000	Weihnachten 2013			22.12.13 (So) 18:23		
