###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_E400_01_4634.jpg		no	0:00	0:05	0.000	5.000	5.000	Weihnachten			23.12.14 (Di) 16:35		
E400_01_4619.jpg		no	0:05	0:10	5.000	10.000	5.000	Weihnachten			23.12.14 (Di) 16:29		
E400_01_4627.jpg		no	0:10	0:15	10.000	15.000	5.000	Weihnachten			23.12.14 (Di) 16:34		
E400_01_4628.jpg		no	0:15	0:20	15.000	20.000	5.000	Weihnachten			23.12.14 (Di) 16:34		
E400_01_4631.jpg		no	0:20	0:25	20.000	25.000	5.000	Weihnachten			23.12.14 (Di) 16:35		
E400_01_4633.jpg		no	0:25	0:30	25.000	30.000	5.000	Weihnachten			23.12.14 (Di) 16:35		
E400_01_4634.jpg		no	0:30	0:35	30.000	35.000	5.000	Weihnachten			23.12.14 (Di) 16:35		
E400_01_4637.jpg		no	0:35	0:40	35.000	40.000	5.000	Weihnachten			23.12.14 (Di) 16:36		
iPh5s_00_0579.jpg		no	0:40	0:45	40.000	45.000	5.000	Weihnachten			23.12.14 (Di) 20:48		
iPh5s_00_0580.jpg		no	0:45	0:50	45.000	50.000	5.000	Weihnachten			23.12.14 (Di) 20:48		
iPh5s_00_0582.jpg		no	0:50	0:55	50.000	55.000	5.000	Weihnachten			23.12.14 (Di) 20:55		
