###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_iPh5s_00_0173.jpg		no	0:00	0:05	0.000	5.000	5.000	Westheim			21.3.14 (Fr) 8:08		
E400_01_2783.jpg		no	0:05	0:10	5.000	10.000	5.000	Westheim			9.2.14 (So) 17:20		
E400_01_2785.jpg		no	0:10	0:15	10.000	15.000	5.000	Westheim			23.2.14 (So) 17:29		
E400_01_2800.jpg		no	0:15	0:20	15.000	20.000	5.000	Westheim			23.2.14 (So) 17:39		
iPh5s_00_0173.jpg		no	0:20	0:25	20.000	25.000	5.000	Westheim			21.3.14 (Fr) 8:08		
iPh5s_00_0187.jpg		no	0:25	0:30	25.000	30.000	5.000	Westheim			26.8.14 (Di) 18:37		
iPh5s_00_0221.jpg		no	0:30	0:35	30.000	35.000	5.000	Westheim			7.9.14 (So) 8:17		
iPh5s_00_0222.jpg		no	0:35	0:40	35.000	40.000	5.000	Westheim			7.9.14 (So) 8:39		
iPh5s_00_1050.jpg		no	0:40	0:45	40.000	45.000	5.000	Westheim			29.10.14 (Mi) 10:05		
iPh5s_00_1113.jpg		no	0:45	0:50	45.000	50.000	5.000	Westheim			16.11.14 (So) 15:39		
