###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_SbFoCr_iPh5s_1587.jpg		no	0:00	0:05	0.000	5.000	5.000	Winter			13.2.15 (Fr) 8:37		
RtHhVl_E400_4639.jpg		no	0:05	0:10	5.000	10.000	5.000	Winter			2.1.15 (Fr) 9:42		
RtHhXt_E400_4642.jpg		no	0:10	0:15	10.000	15.000	5.000	Winter			2.1.15 (Fr) 9:43		
RtHhZj_E400_4646.jpg		no	0:15	0:20	15.000	20.000	5.000	Winter			2.1.15 (Fr) 9:44		
RtHiHi_E400_4648.jpg		no	0:20	0:25	20.000	25.000	5.000	Winter			2.1.15 (Fr) 9:47		
RtHiLy_E400_4650.jpg		no	0:25	0:30	25.000	30.000	5.000	Winter			2.1.15 (Fr) 9:49		
RtHiNf_E400_4652.jpg		no	0:30	0:35	30.000	35.000	5.000	Winter			2.1.15 (Fr) 9:50		
RtHiNx_E400_4654.jpg		no	0:35	0:40	35.000	40.000	5.000	Winter			2.1.15 (Fr) 9:50		
SbFiUw_iPh5s_1588.jpg		no	0:40	0:45	40.000	45.000	5.000	Winter			13.2.15 (Fr) 7:37		
SbFnJp_iPh5s_1583.jpg		no	0:45	0:50	45.000	50.000	5.000	Winter			13.2.15 (Fr) 8:29		
SbFoCr_iPh5s_1587.jpg		no	0:50	0:55	50.000	55.000	5.000	Winter			13.2.15 (Fr) 8:37		
SbJzJj_iPh5s_1591.jpg		no	0:55	1:00	55.000	60.000	5.000	Winter			14.2.15 (Sa) 6:16		
