###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_SnYsSv_iPh5s_1760.jpg		no	0:00	0:05	0.000	5.000	5.000	Im Garten			18.4.15 (Sa) 18:30		
SmYmWj_iPh5s_1704.jpg		no	0:05	0:10	5.000	10.000	5.000	Im Garten			13.4.15 (Mo) 10:28		
SnPbSn_iPh5s_1748.jpg		no	0:10	0:15	10.000	15.000	5.000	Im Garten			16.4.15 (Do) 19:22		
SnYsSv_iPh5s_1760.jpg		no	0:15	0:20	15.000	20.000	5.000	Im Garten			18.4.15 (Sa) 18:30		
SnYsVj_iPh5s_1761.jpg		no	0:20	0:25	20.000	25.000	5.000	Im Garten			18.4.15 (Sa) 18:31		
SrEqRu_iPh5s_0009.jpg		no	0:25	0:30	25.000	30.000	5.000	Im Garten			4.5.15 (Mo) 20:14		
SsUtMt_iPh5s_0026.jpg		no	0:30	0:35	30.000	35.000	5.000	Im Garten			13.5.15 (Mi) 9:48		
TiMrHo_iPh5s_0397.jpg		no	0:35	0:40	35.000	40.000	5.000	Im Garten			3.8.15 (Mo) 9:20		
TiNgEp_E400_4763.jpg		no	0:40	0:45	40.000	45.000	5.000	Im Garten			3.8.15 (Mo) 12:08		
TiNgFc_E400_4764.jpg		no	0:45	0:50	45.000	50.000	5.000	Im Garten			3.8.15 (Mo) 12:08		
TiNgGo_E400_4766.jpg		no	0:50	0:55	50.000	55.000	5.000	Im Garten			3.8.15 (Mo) 12:09		
TiNgKf_E400_4770.jpg		no	0:55	1:00	55.000	60.000	5.000	Im Garten			3.8.15 (Mo) 12:11		
TiNgLx_E400_4771.jpg		no	1:00	1:05	60.000	65.000	5.000	Im Garten			3.8.15 (Mo) 12:11		
