###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_TmZoHh_iPh5s_0466.jpg		no	0:00	0:05	0.000	5.000	5.000	Kobel			27.8.15 (Do) 4:00		
TdXvMg_iPh5s_0240.jpg		no	0:05	0:10	5.000	10.000	5.000	Kobel			10.7.15 (Fr) 5:08		
TdYgBn_iPh5s_0239.jpg		no	0:10	0:15	10.000	15.000	5.000	Kobel			10.7.15 (Fr) 7:08		
TeCvMq_iPh5s_0243.jpg		no	0:15	0:20	15.000	20.000	5.000	Kobel			11.7.15 (Sa) 5:33		
TeWqXf_iPh5s_0250.jpg		no	0:20	0:25	20.000	25.000	5.000	Kobel			15.7.15 (Mi) 6:20		
TfFxKu_iPh5s_0261.jpg		no	0:25	0:30	25.000	30.000	5.000	Kobel			17.7.15 (Fr) 3:30		
TfFxNy_iPh5s_0262.jpg		no	0:30	0:35	30.000	35.000	5.000	Kobel			17.7.15 (Fr) 3:31		
TfGgVa_iPh5s_0259.jpg		no	0:35	0:40	35.000	40.000	5.000	Kobel			17.7.15 (Fr) 5:16		
TgAfXj_iPh5s_0341.jpg		no	0:40	0:45	40.000	45.000	5.000	Kobel			21.7.15 (Di) 6:44		
TgEqEw_iPh5s_0344.jpg		no	0:45	0:50	45.000	50.000	5.000	Kobel			22.7.15 (Mi) 4:12		
TmZoHh_iPh5s_0466.jpg		no	0:50	0:55	50.000	55.000	5.000	Kobel			27.8.15 (Do) 4:00		
UhVgEp_iPh5s_8008.jpg		no	0:55	1:00	55.000	60.000	5.000	Kobel			13.12.15 (So) 7:38		
UhVlOr_iPh5s_1076.jpg		no	1:00	1:05	60.000	65.000	5.000	Kobel			13.12.15 (So) 8:39		
UhVlPi_iPh5s_1077.jpg		no	1:05	1:10	65.000	70.000	5.000	Kobel			13.12.15 (So) 8:39		
UiAcHh_Unbek_8021.jpg		no	1:10	1:15	70.000	75.000	5.000	Kobel			14.12.15 (Mo) 7:19		
