###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_GsOaT_iPh5s_1042.jpg		no	0:00	0:05	0.000	5.000	5.000	Umgebung von Westheim			7.12.15 (Mo) 11:32		
BvKjJ_iPh5s_0990.jpg		no	0:05	0:10	5.000	10.000	5.000	Umgebung von Westheim			12.11.15 (Do) 14:48		
BvPqT_iPh5s_0989.jpg		no	0:10	0:15	10.000	15.000	5.000	Umgebung von Westheim			12.11.15 (Do) 15:47		
BzFcL_iPh5s_0992.jpg		no	0:15	0:20	15.000	20.000	5.000	Umgebung von Westheim			13.11.15 (Fr) 9:20		
BzFfE_iPh5s_0993.jpg		no	0:20	0:25	20.000	25.000	5.000	Umgebung von Westheim			13.11.15 (Fr) 9:21		
GsOaT_iPh5s_1042.jpg		no	0:25	0:30	25.000	30.000	5.000	Umgebung von Westheim			7.12.15 (Mo) 11:32		
JxSnN_iPh5s_1098.jpg		no	0:30	0:35	30.000	35.000	5.000	Umgebung von Westheim			24.12.15 (Do) 9:36		
JxSzK_iPh5s_8062.jpg		no	0:35	0:40	35.000	40.000	5.000	Umgebung von Westheim			24.12.15 (Do) 9:41		
JxTaS_iPh5s_8066.jpg		no	0:40	0:45	40.000	45.000	5.000	Umgebung von Westheim			24.12.15 (Do) 9:41		
JxTcR_iPh5s_8067.jpg		no	0:45	0:50	45.000	50.000	5.000	Umgebung von Westheim			24.12.15 (Do) 9:42		
JxTdY_iPh5s_8029.jpg		no	0:50	0:55	50.000	55.000	5.000	Umgebung von Westheim			24.12.15 (Do) 9:43		
JxTdY_iPh5s_8065.jpg		no	0:55	1:00	55.000	60.000	5.000	Umgebung von Westheim			24.12.15 (Do) 9:43		
JxTjM_iPh5s_1105.jpg		no	1:00	1:05	60.000	65.000	5.000	Umgebung von Westheim			24.12.15 (Do) 9:45		
JxToY_iPh5s_1107.jpg		no	1:05	1:10	65.000	70.000	5.000	Umgebung von Westheim			24.12.15 (Do) 9:48		
JxVmF_iPh5s_8068.jpg		no	1:10	1:15	70.000	75.000	5.000	Umgebung von Westheim			24.12.15 (Do) 10:09		
JxYnU_iPh5s_8064.jpg		no	1:15	1:20	75.000	80.000	5.000	Umgebung von Westheim			24.12.15 (Do) 10:43		
KmVnS_iPh5s_8009.jpg		no	1:20	1:25	80.000	85.000	5.000	Umgebung von Westheim			27.12.15 (So) 11:24		
KmVqB_iPh5s_1115.jpg		no	1:25	1:30	85.000	90.000	5.000	Umgebung von Westheim			27.12.15 (So) 11:25		
KmWgW_iPh5s_1117.jpg		no	1:30	1:35	90.000	95.000	5.000	Umgebung von Westheim			27.12.15 (So) 11:32		
KmWnV_iPh5s_1119.jpg		no	1:35	1:40	95.000	100.000	5.000	Umgebung von Westheim			27.12.15 (So) 11:35		
