###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
WzPpDj_E400_6603.jpg		no	0:00	0:05	0.000	5.000	5.000	Landsberg			10.12.16 (Sa) 9:40		
WzPpEz_E400_6605.jpg		no	0:05	0:10	5.000	10.000	5.000	Landsberg			10.12.16 (Sa) 9:41		
WzPpJz_E400_6609.jpg		no	0:10	0:15	10.000	15.000	5.000	Landsberg			10.12.16 (Sa) 9:43		
WzPpKn_E400_6612.jpg		no	0:15	0:20	15.000	20.000	5.000	Landsberg			10.12.16 (Sa) 9:43		
WzPpKr_E400_6613.jpg		no	0:20	0:25	20.000	25.000	5.000	Landsberg			10.12.16 (Sa) 9:43		
WzPpLw_E400_6614.jpg		no	0:25	0:30	25.000	30.000	5.000	Landsberg			10.12.16 (Sa) 9:44		
WzPpMf_E400_6616.jpg		no	0:30	0:35	30.000	35.000	5.000	Landsberg			10.12.16 (Sa) 9:44		
WzPqKv_E400_6620.jpg		no	0:35	0:40	35.000	40.000	5.000	Landsberg			10.12.16 (Sa) 9:55		
WzPqLr_E400_6622.jpg		no	0:40	0:45	40.000	45.000	5.000	Landsberg			10.12.16 (Sa) 9:55		
WzPqMw_E400_6623.jpg		no	0:45	0:50	45.000	50.000	5.000	Landsberg			10.12.16 (Sa) 9:56		
WzPsWj_E400_6624.jpg		no	0:50	0:55	50.000	55.000	5.000	Landsberg			10.12.16 (Sa) 10:22		
WzPsWq_E400_6625.jpg		no	0:55	1:00	55.000	60.000	5.000	Landsberg			10.12.16 (Sa) 10:22		
WzPsYx_E400_6626.jpg		no	1:00	1:05	60.000	65.000	5.000	Landsberg			10.12.16 (Sa) 10:23		
WzPtAq_E400_6628.jpg		no	1:05	1:10	65.000	70.000	5.000	Landsberg			10.12.16 (Sa) 10:24		
WzPuDw_E400_6630.jpg		no	1:10	1:15	70.000	75.000	5.000	Landsberg			10.12.16 (Sa) 10:37		
WzPuIu_E400_6631.jpg		no	1:15	1:20	75.000	80.000	5.000	Landsberg			10.12.16 (Sa) 10:39		
WzQmGe_iPh5s_2394.jpg		no	1:20	1:25	80.000	85.000	5.000	Landsberg			10.12.16 (Sa) 14:01		
WzQmVy_iPh5s_2396.jpg		no	1:25	1:30	85.000	90.000	5.000	Landsberg			10.12.16 (Sa) 14:07		
