###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_AeBxHg_iPhSE_0021.jpg		no	0:00	0:05	0.000	5.000	5.000	Kobel			12.2.18 (Mo) 14:41		
AeBxHg_iPhSE_0021.jpg		no	0:05	0:10	5.000	10.000	5.000	Kobel			12.2.18 (Mo) 14:41		
CcTiGf_iPhSE_0840.jpg		no	0:10	0:15	10.000	15.000	5.000	Kobel			1.11.18 (Do) 14:38		
CcTiHy_iPhSE_0837.jpg		no	0:15	0:20	15.000	20.000	5.000	Kobel			1.11.18 (Do) 14:39		
CcTiPq_iPhSE_0838.jpg		no	0:20	0:25	20.000	25.000	5.000	Kobel			1.11.18 (Do) 14:42		
CcTiPt_iPhSE_0839.jpg		no	0:25	0:30	25.000	30.000	5.000	Kobel			1.11.18 (Do) 14:42		
CdNbPp_iPhSE_0841.jpg		no	0:30	0:35	30.000	35.000	5.000	Kobel			5.11.18 (Mo) 15:02		
CdWvHl_iPhSE_0845.jpg		no	0:35	0:40	35.000	40.000	5.000	Kobel			7.11.18 (Mi) 14:40		
CdWvIt_iPhSE_0846.jpg		no	0:40	0:45	40.000	45.000	5.000	Kobel			7.11.18 (Mi) 14:40		
CeTuIa_iPhSE_0852.jpg		no	0:45	0:50	45.000	50.000	5.000	Kobel			12.11.18 (Mo) 6:46		
CeTuKp_iPhSE_0851.jpg		no	0:50	0:55	50.000	55.000	5.000	Kobel			12.11.18 (Mo) 6:47		
