###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_GtHvBg_E400_6448.jpg		no	0:00	0:05	0.000	5.000	5.000	Pause an der Zusam bei Sontheim nahe Zusamaltheim	Zusamaltheim	Sontheim	19.7.20 (So) 6:55		
GpDiSm_iPhSE_2741.mp4		yes	0:05	0:49	5.000	48.510	43.510	Morgenstimmung auf dem Geißberg zwischen Agawang und Schempach	Dinkelscherben	Schempach	28.6.20 (So) 5:19		
GpDjGt_E400_6353.jpg		no	0:49	0:54	48.510	53.510	5.000	Morgenstimmung auf dem Geißberg zwischen Agawang und Schempach	Dinkelscherben	Schempach	28.6.20 (So) 5:26		
GpDjLm_E400_6359.jpg		no	0:54	0:59	53.510	58.510	5.000	Morgenstimmung auf dem Geißberg zwischen Agawang und Schempach	Dinkelscherben	Schempach	28.6.20 (So) 5:28		
GpDjNq_E400_6362.jpg		no	0:59	1:04	58.510	63.510	5.000	Morgenstimmung auf dem Geißberg zwischen Agawang und Schempach	Dinkelscherben	Schempach	28.6.20 (So) 5:29		
GpDjPk_E400_6364.jpg		no	1:04	1:09	63.510	68.510	5.000	Morgenstimmung auf dem Geißberg zwischen Agawang und Schempach	Dinkelscherben	Schempach	28.6.20 (So) 5:29		
GpDlRl_E400_6368.jpg		no	1:09	1:14	68.510	73.510	5.000	(Wild-)Gänse in Fischach	Fischach		28.6.20 (So) 5:53		
GpDlZs_E400_6373.jpg		no	1:14	1:19	73.510	78.510	5.000	(Wild-)Gänse in Fischach	Fischach		28.6.20 (So) 5:56		
GpDmAm_E400_6376.jpg		no	1:19	1:24	78.510	83.510	5.000	(Wild-)Gänse in Fischach	Fischach		28.6.20 (So) 5:57		
GpDnHu_iPhSE_2742.jpg		no	1:24	1:29	83.510	88.510	5.000	Behelfsbrücke über die junge Schmutter in Siegertshofen	Fischach	Siegertshofen	28.6.20 (So) 6:11		
GpDnXv_E400_6380.jpg		no	1:29	1:34	88.510	93.510	5.000	Der Kirchturm von Langenneufnach	Langenneufnach		28.6.20 (So) 6:18		
GpDqZa_iPhSE_2743.jpg		no	1:34	1:39	93.510	98.510	5.000	Pause oberhalb von Münster bei Mickhausen	Mickhausen	Münster	28.6.20 (So) 6:52		
GqQxNz_E400_6383.jpg		no	1:39	1:44	98.510	103.510	5.000	Pause an der kleinen Mindel zwischen Hagenried und Oberrohr	Münsterhausen	Hagenried	5.7.20 (So) 6:31		
GqQxPe_E400_6385.jpg		no	1:44	1:49	103.510	108.510	5.000	Pause an der kleinen Mindel zwischen Hagenried und Oberrohr	Münsterhausen	Hagenried	5.7.20 (So) 6:31		
GqQzIc_E400_6387.jpg		no	1:49	1:54	108.510	113.510	5.000	Ursberg von Osten	Thannhausen	Nettershausen	5.7.20 (So) 6:51		
GrZcMn_E400_6390.jpg		no	1:54	1:59	113.510	118.510	5.000	Morgenstimmung auf dem Geißberg zwischen Agawang und Schempach	Dinkelscherben	Schempach	12.7.20 (So) 5:26		
GrZdNu_E400_6401.jpg		no	1:59	2:04	118.510	123.510	5.000	Morgenstimmung auf dem Geißberg zwischen Agawang und Schempach	Dinkelscherben	Schempach	12.7.20 (So) 5:38		
GrZfQc_E400_6402.jpg		no	2:04	2:09	123.510	128.510	5.000	Morgenstimmung zwischen Grünenbaindt und Oberwaldbach	Dinkelscherben	Grünenbaindt	12.7.20 (So) 6:02		
GrZfSg_E400_6404.jpg		no	2:09	2:14	128.510	133.510	5.000	Morgenstimmung zwischen Grünenbaindt und Oberwaldbach	Dinkelscherben	Grünenbaindt	12.7.20 (So) 6:03		
GrZfSz_E400_6405.jpg		no	2:14	2:19	133.510	138.510	5.000	Morgenstimmung zwischen Grünenbaindt und Oberwaldbach	Dinkelscherben	Grünenbaindt	12.7.20 (So) 6:03		
GrZhXw_E400_6413.jpg		no	2:19	2:24	138.510	143.510	5.000	Idylle östlich von Münsterhausen bei Burtenbach	Münsterhausen	Häuserhof	12.7.20 (So) 6:28		
GrZhYp_E400_6416.jpg		no	2:24	2:29	143.510	148.510	5.000	Idylle östlich von Münsterhausen bei Burtenbach	Münsterhausen	Häuserhof	12.7.20 (So) 6:28		
GrZiAv_E400_6422.jpg		no	2:29	2:34	148.510	153.510	5.000	Idylle östlich von Münsterhausen bei Burtenbach	Münsterhausen	Häuserhof	12.7.20 (So) 6:29		
GtHoWd_E400_6434.jpg		no	2:34	2:39	153.510	158.510	5.000	Morgenstimmung in Lützelburg mit Blick ins Schmutter- und Lechtal	Gablingen	Lützelburg	19.7.20 (So) 5:45		
GtHpAq_E400_6435.jpg		no	2:39	2:44	158.510	163.510	5.000	Morgenstimmung in Lützelburg mit Blick ins Schmutter- und Lechtal	Gablingen	Lützelburg	19.7.20 (So) 5:47		
GtHpQv_E400_6437.jpg		no	2:44	2:49	163.510	168.510	5.000	Morgenstimmung in Lützelburg mit Blick ins Schmutter- und Lechtal	Gablingen	Lützelburg	19.7.20 (So) 5:54		
GtHpUh_E400_6438.jpg		no	2:49	2:54	168.510	173.510	5.000	Morgenstimmung in Lützelburg mit Blick ins Schmutter- und Lechtal	Gablingen	Lützelburg	19.7.20 (So) 5:56		
GtHrFo_E400_6443.jpg		no	2:54	2:59	173.510	178.510	5.000	Morgenstimmung in Affaltern bei Biberbach	Biberbach	Affaltern	19.7.20 (So) 6:12		
GtHrHd_E400_6444.jpg		no	2:59	3:04	178.510	183.510	5.000	Morgenstimmung in Affaltern bei Biberbach	Biberbach	Affaltern	19.7.20 (So) 6:13		
GtHrRw_E400_6445.jpg		no	3:04	3:09	183.510	188.510	5.000	Morgenstimmung in Affaltern bei Biberbach	Biberbach	Affaltern	19.7.20 (So) 6:17		
GtHvBg_E400_6448.jpg		no	3:09	3:14	188.510	193.510	5.000	Pause an der Zusam bei Sontheim nahe Zusamaltheim	Zusamaltheim	Sontheim	19.7.20 (So) 6:55		
GtHvBv_E400_6449.jpg		no	3:14	3:19	193.510	198.510	5.000	Pause an der Zusam bei Sontheim nahe Zusamaltheim	Zusamaltheim	Sontheim	19.7.20 (So) 6:55		
GtHvFg_E400_6452.jpg		no	3:19	3:24	198.510	203.510	5.000	Pause an der Zusam bei Sontheim nahe Zusamaltheim	Zusamaltheim	Sontheim	19.7.20 (So) 6:57		
GxGwPw_E400_6510.jpg		no	3:24	3:29	203.510	208.510	5.000	Morgenstimmung in Lützelburg mit Blick ins Schmutter- und Lechtal	Gablingen	Lützelburg	9.8.20 (So) 6:05		
GxGwYg_E400_6517.jpg		no	3:29	3:34	208.510	213.510	5.000	Morgenstimmung in Lützelburg mit Blick ins Schmutter- und Lechtal	Gablingen	Lützelburg	9.8.20 (So) 6:09		
GxHaZs_E400_6522.jpg		no	3:34	3:39	213.510	218.510	5.000	Morgenkaffee an der Zusam bei Sontheim nahe Zusamaltheim	Zusamaltheim	Sontheim	9.8.20 (So) 6:54		
GxHbEo_E400_6530.jpg		no	3:39	3:44	218.510	223.510	5.000	Morgenkaffee an der Zusam bei Sontheim nahe Zusamaltheim	Zusamaltheim	Sontheim	9.8.20 (So) 6:56		
GxHbFa_E400_6531.jpg		no	3:44	3:49	223.510	228.510	5.000	Pause an der Zusam bei Sontheim nahe Zusamaltheim	Zusamaltheim	Sontheim	9.8.20 (So) 6:57		
