###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_IMG_3040.jpg		no	0:00	0:05	0.000	5.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:03		
IMG_3038.jpg		no	0:05	0:10	5.000	10.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:01		
IMG_3039.jpg		no	0:10	0:15	10.000	15.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:01		
IMG_3040.jpg		no	0:15	0:20	15.000	20.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:03		
IMG_3041.jpg		no	0:20	0:25	20.000	25.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:14		
IMG_3042.jpg		no	0:25	0:30	25.000	30.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:14		
IMG_3044.jpg		no	0:30	0:35	30.000	35.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:15		
IMG_3045.jpg		no	0:35	0:40	35.000	40.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:15		
IMG_3047.jpg		no	0:40	0:45	40.000	45.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:20		
IMG_3049.jpg		no	0:45	0:50	45.000	50.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:20		
IMG_3050.jpg		no	0:50	0:55	50.000	55.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:21		
IMG_3051.jpg		no	0:55	1:00	55.000	60.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:22		
IMG_3052.jpg		no	1:00	1:05	60.000	65.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:22		
IMG_3053.jpg		no	1:05	1:10	65.000	70.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:25		
IMG_3055.jpg		no	1:10	1:15	70.000	75.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:29		
IMG_3056.jpg		no	1:15	1:20	75.000	80.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:33		
IMG_3058.jpg		no	1:20	1:25	80.000	85.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:40		
IMG_3059.jpg		no	1:25	1:30	85.000	90.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:41		
IMG_3063.jpg		no	1:30	1:35	90.000	95.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:55		
IMG_3064.jpg		no	1:35	1:40	95.000	100.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:56		
IMG_3065.jpg		no	1:40	1:45	100.000	105.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:56		
IMG_3067.jpg		no	1:45	1:50	105.000	110.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:57		
IMG_3068.jpg		no	1:50	1:55	110.000	115.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:58		
IMG_3069.jpg		no	1:55	2:00	115.000	120.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:59		
IMG_3070.jpg		no	2:00	2:05	120.000	125.000	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:59		
IMG_3071.mp4		no	2:05	3:00	125.000	179.840	54.840	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 14:59		
IMG_3073.jpg		no	3:00	3:05	179.840	184.840	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:16		
IMG_3074.jpg		no	3:05	3:10	184.840	189.840	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:17		
IMG_3076.jpg		no	3:10	3:15	189.840	194.840	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:21		
IMG_3077.jpg		no	3:15	3:20	194.840	199.840	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:23		
IMG_3078.jpg		no	3:20	3:25	199.840	204.840	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:29		
IMG_3079.jpg		no	3:25	3:30	204.840	209.840	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:29		
IMG_3080.jpg		no	3:30	3:35	209.840	214.840	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:29		
IMG_3081.jpg		no	3:35	3:40	214.840	219.840	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:30		
IMG_3082.jpg		no	3:40	3:45	219.840	224.840	5.000	Im Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:30		
IMG_3083.jpg		no	3:45	3:50	224.840	229.840	5.000	Am Dom zu Augsburg	Augsburg		11.7.23 (Di) 15:49		
